timestep, s, u, i, r
0, 586, 0, 13, 1
1, 575, 0, 22, 3
2, 556, 0, 41, 3
3, 537, 0, 52, 11
4, 509, 0, 73, 18
5, 484, 0, 87, 29
6, 464, 0, 98, 38
7, 442, 0, 109, 49
8, 424, 0, 118, 58
9, 408, 0, 121, 71
10, 395, 0, 120, 85
11, 372, 0, 128, 100
12, 353, 0, 134, 113
13, 336, 0, 133, 131
14, 324, 0, 127, 149
15, 313, 0, 118, 169
16, 294, 0, 120, 186
17, 282, 0, 121, 197
18, 267, 0, 125, 208
19, 259, 0, 121, 220
20, 250, 0, 111, 239
21, 243, 0, 108, 249
22, 226, 0, 111, 263
23, 210, 0, 111, 279
24, 201, 0, 107, 292
25, 190, 0, 106, 304
26, 185, 0, 105, 310
27, 175, 0, 108, 317
28, 167, 0, 103, 330
29, 159, 0, 94, 347
30, 154, 0, 91, 355
31, 141, 0, 95, 364
32, 139, 0, 87, 374
33, 129, 0, 89, 382
34, 121, 0, 83, 396
35, 119, 0, 81, 400
36, 118, 0, 73, 409
37, 115, 0, 71, 414
38, 114, 0, 67, 419
39, 112, 0, 63, 425
40, 110, 0, 57, 433
41, 107, 0, 52, 441
42, 92, 0, 63, 445
43, 87, 0, 64, 449
44, 76, 0, 69, 455
45, 73, 0, 66, 461
46, 70, 0, 64, 466
47, 60, 0, 65, 475
48, 56, 0, 64, 480
49, 51, 0, 65, 484
50, 47, 0, 65, 488
51, 42, 0, 57, 501
52, 39, 0, 57, 504
53, 33, 0, 60, 507
54, 32, 0, 56, 512
55, 21, 0, 57, 522
56, 19, 0, 54, 527
57, 16, 0, 51, 533
58, 11, 0, 50, 539
59, 9, 0, 47, 544
60, 7, 0, 46, 547
61, 3, 0, 42, 555
62, 0, 0, 39, 561
63, 0, 0, 33, 567
64, 0, 0, 29, 571
65, 0, 0, 25, 575
66, 0, 0, 23, 577
67, 0, 0, 21, 579
68, 0, 0, 21, 579
69, 0, 0, 17, 583
70, 0, 0, 16, 584
71, 0, 0, 16, 584
72, 0, 0, 13, 587
73, 0, 0, 11, 589
74, 0, 0, 8, 592
75, 0, 0, 8, 592
76, 0, 0, 8, 592
77, 0, 0, 8, 592
78, 0, 0, 7, 593
79, 0, 0, 5, 595
80, 0, 0, 5, 595
81, 0, 0, 5, 595
82, 0, 0, 5, 595
83, 0, 0, 4, 596
84, 0, 0, 4, 596
85, 0, 0, 3, 597
86, 0, 0, 2, 598
87, 0, 0, 2, 598
88, 0, 0, 2, 598
89, 0, 0, 2, 598
90, 0, 0, 2, 598
91, 0, 0, 1, 599
92, 0, 0, 1, 599
93, 0, 0, 1, 599
94, 0, 0, 1, 599
95, 0, 0, 1, 599
96, 0, 0, 1, 599
97, 0, 0, 1, 599
98, 0, 0, 1, 599
99, 0, 0, 1, 599
