timestep, s, u, i, r
0, 590, 0, 9, 1
1, 582, 0, 15, 3
2, 559, 0, 34, 7
3, 531, 0, 58, 11
4, 501, 0, 81, 18
5, 468, 0, 104, 28
6, 444, 0, 117, 39
7, 421, 0, 119, 60
8, 394, 0, 132, 74
9, 375, 0, 135, 90
10, 360, 0, 131, 109
11, 343, 0, 130, 127
12, 333, 0, 130, 137
13, 319, 0, 131, 150
14, 315, 0, 124, 161
15, 303, 0, 122, 175
16, 294, 0, 117, 189
17, 277, 0, 122, 201
18, 263, 0, 123, 214
19, 253, 0, 125, 222
20, 242, 0, 125, 233
21, 230, 0, 124, 246
22, 222, 0, 117, 261
23, 193, 0, 136, 271
24, 169, 0, 151, 280
25, 163, 0, 146, 291
26, 150, 0, 149, 301
27, 141, 0, 139, 320
28, 136, 0, 128, 336
29, 134, 0, 113, 353
30, 130, 0, 110, 360
31, 128, 0, 99, 373
32, 125, 0, 93, 382
33, 123, 0, 79, 398
34, 120, 0, 74, 406
35, 117, 0, 72, 411
36, 111, 0, 71, 418
37, 104, 0, 73, 423
38, 98, 0, 68, 434
39, 93, 0, 73, 434
40, 90, 0, 69, 441
41, 88, 0, 66, 446
42, 86, 0, 64, 450
43, 83, 0, 61, 456
44, 80, 0, 56, 464
45, 77, 0, 57, 466
46, 74, 0, 49, 477
47, 71, 0, 49, 480
48, 63, 0, 53, 484
49, 52, 0, 60, 488
50, 46, 0, 59, 495
51, 39, 0, 63, 498
52, 37, 0, 60, 503
53, 34, 0, 56, 510
54, 28, 0, 54, 518
55, 22, 0, 57, 521
56, 20, 0, 53, 527
57, 19, 0, 49, 532
58, 18, 0, 44, 538
59, 18, 0, 36, 546
60, 18, 0, 36, 546
61, 18, 0, 32, 550
62, 18, 0, 27, 555
63, 18, 0, 23, 559
64, 18, 0, 20, 562
65, 18, 0, 15, 567
66, 18, 0, 12, 570
67, 18, 0, 10, 572
68, 18, 0, 10, 572
69, 18, 0, 9, 573
70, 18, 0, 8, 574
71, 18, 0, 8, 574
72, 18, 0, 8, 574
73, 18, 0, 6, 576
74, 18, 0, 5, 577
75, 18, 0, 4, 578
76, 18, 0, 4, 578
77, 18, 0, 4, 578
78, 18, 0, 4, 578
79, 18, 0, 2, 580
80, 18, 0, 2, 580
81, 18, 0, 2, 580
82, 18, 0, 2, 580
83, 18, 0, 2, 580
84, 18, 0, 2, 580
85, 18, 0, 2, 580
86, 18, 0, 2, 580
87, 18, 0, 1, 581
88, 18, 0, 1, 581
89, 18, 0, 1, 581
90, 18, 0, 1, 581
91, 18, 0, 1, 581
92, 18, 0, 1, 581
93, 18, 0, 1, 581
94, 18, 0, 1, 581
95, 18, 0, 0, 582
