timestep, s, u, i, r
0, 585, 0, 15, 0
1, 577, 0, 22, 1
2, 563, 0, 34, 3
3, 551, 0, 45, 4
4, 536, 0, 57, 7
5, 497, 0, 88, 15
6, 480, 0, 94, 26
7, 467, 0, 90, 43
8, 454, 0, 95, 51
9, 444, 0, 90, 66
10, 433, 0, 86, 81
11, 424, 0, 83, 93
12, 406, 0, 91, 103
13, 393, 0, 90, 117
14, 380, 0, 90, 130
15, 371, 0, 95, 134
16, 353, 0, 102, 145
17, 331, 0, 116, 153
18, 314, 0, 121, 165
19, 299, 0, 120, 181
20, 282, 0, 123, 195
21, 261, 0, 124, 215
22, 245, 0, 125, 230
23, 226, 0, 131, 243
24, 214, 0, 130, 256
25, 200, 0, 132, 268
26, 188, 0, 133, 279
27, 182, 0, 130, 288
28, 174, 0, 129, 297
29, 166, 0, 121, 313
30, 159, 0, 119, 322
31, 152, 0, 121, 327
32, 148, 0, 110, 342
33, 141, 0, 109, 350
34, 138, 0, 101, 361
35, 136, 0, 96, 368
36, 133, 0, 89, 378
37, 127, 0, 87, 386
38, 123, 0, 81, 396
39, 117, 0, 77, 406
40, 117, 0, 70, 413
41, 114, 0, 66, 420
42, 109, 0, 66, 425
43, 105, 0, 65, 430
44, 102, 0, 60, 438
45, 94, 0, 59, 447
46, 93, 0, 56, 451
47, 89, 0, 50, 461
48, 86, 0, 46, 468
49, 83, 0, 45, 472
50, 81, 0, 40, 479
51, 80, 0, 38, 482
52, 77, 0, 38, 485
53, 77, 0, 36, 487
54, 73, 0, 34, 493
55, 67, 0, 37, 496
56, 63, 0, 38, 499
57, 61, 0, 37, 502
58, 58, 0, 39, 503
59, 46, 0, 47, 507
60, 42, 0, 48, 510
61, 39, 0, 47, 514
62, 37, 0, 47, 516
63, 37, 0, 41, 522
64, 37, 0, 40, 523
65, 37, 0, 38, 525
66, 24, 0, 50, 526
67, 23, 0, 49, 528
68, 16, 0, 54, 530
69, 9, 0, 57, 534
70, 6, 0, 55, 539
71, 5, 0, 52, 543
72, 2, 0, 50, 548
73, 2, 0, 44, 554
74, 2, 0, 43, 555
75, 2, 0, 40, 558
76, 2, 0, 38, 560
77, 2, 0, 36, 562
78, 2, 0, 32, 566
79, 2, 0, 28, 570
80, 1, 0, 27, 572
81, 1, 0, 25, 574
82, 1, 0, 23, 576
83, 1, 0, 20, 579
84, 1, 0, 18, 581
85, 1, 0, 16, 583
86, 1, 0, 15, 584
87, 1, 0, 14, 585
88, 1, 0, 13, 586
89, 1, 0, 11, 588
90, 1, 0, 7, 592
91, 1, 0, 6, 593
92, 1, 0, 6, 593
93, 1, 0, 5, 594
94, 1, 0, 5, 594
95, 1, 0, 5, 594
96, 1, 0, 5, 594
97, 1, 0, 4, 595
98, 1, 0, 4, 595
99, 1, 0, 4, 595
