timestep, s, u, i, r
0, 579, 0, 20, 1
1, 566, 0, 31, 3
2, 550, 0, 43, 7
3, 525, 0, 62, 13
4, 506, 0, 74, 20
5, 487, 0, 87, 26
6, 474, 0, 86, 40
7, 469, 0, 81, 50
8, 459, 0, 81, 60
9, 450, 0, 81, 69
10, 446, 0, 77, 77
11, 439, 0, 77, 84
12, 428, 0, 77, 95
13, 420, 0, 79, 101
14, 408, 0, 78, 114
15, 394, 0, 85, 121
16, 382, 0, 88, 130
17, 370, 0, 89, 141
18, 365, 0, 80, 155
19, 361, 0, 76, 163
20, 355, 0, 78, 167
21, 352, 0, 70, 178
22, 344, 0, 66, 190
23, 334, 0, 71, 195
24, 316, 0, 80, 204
25, 303, 0, 87, 210
26, 297, 0, 85, 218
27, 285, 0, 89, 226
28, 267, 0, 101, 232
29, 254, 0, 100, 246
30, 247, 0, 100, 253
31, 240, 0, 95, 265
32, 231, 0, 89, 280
33, 221, 0, 88, 291
34, 212, 0, 86, 302
35, 206, 0, 86, 308
36, 194, 0, 89, 317
37, 186, 0, 89, 325
38, 177, 0, 88, 335
39, 166, 0, 90, 344
40, 153, 0, 94, 353
41, 136, 0, 90, 374
42, 122, 0, 93, 385
43, 112, 0, 90, 398
44, 107, 0, 89, 404
45, 99, 0, 90, 411
46, 92, 0, 88, 420
47, 81, 0, 90, 429
48, 77, 0, 85, 438
49, 72, 0, 81, 447
50, 64, 0, 86, 450
51, 58, 0, 85, 457
52, 48, 0, 84, 468
53, 28, 0, 92, 480
54, 21, 0, 93, 486
55, 13, 0, 86, 501
56, 8, 0, 80, 512
57, 4, 0, 75, 521
58, 2, 0, 63, 535
59, 2, 0, 59, 539
60, 1, 0, 48, 551
61, 1, 0, 46, 553
62, 1, 0, 41, 558
63, 1, 0, 37, 562
64, 1, 0, 31, 568
65, 1, 0, 30, 569
66, 1, 0, 26, 573
67, 1, 0, 23, 576
68, 1, 0, 22, 577
69, 1, 0, 19, 580
70, 1, 0, 19, 580
71, 1, 0, 18, 581
72, 1, 0, 18, 581
73, 1, 0, 15, 584
74, 1, 0, 13, 586
75, 1, 0, 12, 587
76, 1, 0, 11, 588
77, 1, 0, 9, 590
78, 1, 0, 9, 590
79, 1, 0, 8, 591
80, 1, 0, 8, 591
81, 1, 0, 7, 592
82, 1, 0, 5, 594
83, 1, 0, 5, 594
84, 1, 0, 4, 595
85, 1, 0, 4, 595
86, 1, 0, 3, 596
87, 1, 0, 3, 596
88, 1, 0, 3, 596
89, 1, 0, 3, 596
90, 1, 0, 3, 596
91, 1, 0, 3, 596
92, 1, 0, 3, 596
93, 1, 0, 3, 596
94, 1, 0, 3, 596
95, 1, 0, 3, 596
96, 1, 0, 2, 597
97, 1, 0, 1, 598
98, 1, 0, 0, 599
