timestep, s, u, i, r
0, 581, 0, 18, 1
1, 561, 0, 37, 2
2, 536, 0, 55, 9
3, 515, 0, 69, 16
4, 494, 0, 81, 25
5, 468, 0, 88, 44
6, 449, 0, 96, 55
7, 435, 0, 100, 65
8, 416, 0, 111, 73
9, 398, 0, 107, 95
10, 379, 0, 110, 111
11, 354, 0, 122, 124
12, 347, 0, 117, 136
13, 332, 0, 122, 146
14, 317, 0, 127, 156
15, 299, 0, 136, 165
16, 280, 0, 142, 178
17, 256, 0, 144, 200
18, 234, 0, 146, 220
19, 215, 0, 149, 236
20, 198, 0, 147, 255
21, 184, 0, 147, 269
22, 163, 0, 148, 289
23, 147, 0, 156, 297
24, 126, 0, 158, 316
25, 114, 0, 151, 335
26, 106, 0, 143, 351
27, 93, 0, 143, 364
28, 73, 0, 147, 380
29, 61, 0, 138, 401
30, 52, 0, 133, 415
31, 46, 0, 124, 430
32, 37, 0, 122, 441
33, 20, 0, 127, 453
34, 13, 0, 118, 469
35, 7, 0, 111, 482
36, 2, 0, 105, 493
37, 1, 0, 95, 504
38, 1, 0, 84, 515
39, 1, 0, 75, 524
40, 1, 0, 66, 533
41, 1, 0, 64, 535
42, 1, 0, 57, 542
43, 1, 0, 50, 549
44, 1, 0, 43, 556
45, 1, 0, 42, 557
46, 1, 0, 38, 561
47, 1, 0, 35, 564
48, 1, 0, 28, 571
49, 1, 0, 21, 578
50, 1, 0, 20, 579
51, 1, 0, 19, 580
52, 1, 0, 17, 582
53, 1, 0, 15, 584
54, 1, 0, 13, 586
55, 1, 0, 11, 588
56, 1, 0, 11, 588
57, 1, 0, 10, 589
58, 1, 0, 10, 589
59, 1, 0, 9, 590
60, 1, 0, 7, 592
61, 1, 0, 6, 593
62, 1, 0, 5, 594
63, 1, 0, 5, 594
64, 1, 0, 5, 594
65, 1, 0, 5, 594
66, 1, 0, 4, 595
67, 1, 0, 3, 596
68, 1, 0, 3, 596
69, 1, 0, 3, 596
70, 1, 0, 3, 596
71, 1, 0, 2, 597
72, 1, 0, 2, 597
73, 1, 0, 2, 597
74, 1, 0, 2, 597
75, 1, 0, 1, 598
76, 1, 0, 1, 598
77, 1, 0, 0, 599
