timestep, s, u, i, r
0, 583, 0, 17, 0
1, 568, 0, 29, 3
2, 541, 0, 48, 11
3, 512, 0, 71, 17
4, 483, 0, 86, 31
5, 468, 0, 90, 42
6, 448, 0, 99, 53
7, 421, 0, 115, 64
8, 394, 0, 133, 73
9, 363, 0, 150, 87
10, 323, 0, 167, 110
11, 288, 0, 179, 133
12, 270, 0, 179, 151
13, 258, 0, 167, 175
14, 238, 0, 165, 197
15, 222, 0, 159, 219
16, 201, 0, 163, 236
17, 195, 0, 151, 254
18, 180, 0, 147, 273
19, 170, 0, 144, 286
20, 157, 0, 141, 302
21, 134, 0, 146, 320
22, 121, 0, 143, 336
23, 105, 0, 144, 351
24, 92, 0, 142, 366
25, 84, 0, 137, 379
26, 70, 0, 135, 395
27, 51, 0, 130, 419
28, 46, 0, 119, 435
29, 30, 0, 125, 445
30, 18, 0, 124, 458
31, 14, 0, 117, 469
32, 12, 0, 113, 475
33, 6, 0, 106, 488
34, 1, 0, 94, 505
35, 1, 0, 83, 516
36, 0, 0, 73, 527
37, 0, 0, 68, 532
38, 0, 0, 63, 537
39, 0, 0, 55, 545
40, 0, 0, 45, 555
41, 0, 0, 40, 560
42, 0, 0, 37, 563
43, 0, 0, 34, 566
44, 0, 0, 31, 569
45, 0, 0, 26, 574
46, 0, 0, 26, 574
47, 0, 0, 24, 576
48, 0, 0, 20, 580
49, 0, 0, 18, 582
50, 0, 0, 17, 583
51, 0, 0, 16, 584
52, 0, 0, 15, 585
53, 0, 0, 15, 585
54, 0, 0, 11, 589
55, 0, 0, 11, 589
56, 0, 0, 10, 590
57, 0, 0, 6, 594
58, 0, 0, 5, 595
59, 0, 0, 4, 596
60, 0, 0, 4, 596
61, 0, 0, 4, 596
62, 0, 0, 3, 597
63, 0, 0, 3, 597
64, 0, 0, 3, 597
65, 0, 0, 3, 597
66, 0, 0, 3, 597
67, 0, 0, 3, 597
68, 0, 0, 3, 597
69, 0, 0, 3, 597
70, 0, 0, 3, 597
71, 0, 0, 3, 597
72, 0, 0, 3, 597
73, 0, 0, 3, 597
74, 0, 0, 3, 597
75, 0, 0, 3, 597
76, 0, 0, 2, 598
77, 0, 0, 1, 599
78, 0, 0, 1, 599
79, 0, 0, 1, 599
80, 0, 0, 1, 599
81, 0, 0, 1, 599
82, 0, 0, 1, 599
83, 0, 0, 1, 599
84, 0, 0, 0, 600
