timestep, s, u, i, r
0, 587, 0, 11, 2
1, 575, 0, 23, 2
2, 560, 0, 35, 5
3, 535, 0, 52, 13
4, 526, 0, 57, 17
5, 512, 0, 66, 22
6, 488, 0, 82, 30
7, 461, 0, 98, 41
8, 448, 0, 102, 50
9, 417, 0, 120, 63
10, 387, 0, 138, 75
11, 375, 0, 142, 83
12, 358, 0, 142, 100
13, 339, 0, 148, 113
14, 317, 0, 157, 126
15, 307, 0, 150, 143
16, 297, 0, 148, 155
17, 290, 0, 144, 166
18, 283, 0, 128, 189
19, 262, 0, 135, 203
20, 252, 0, 133, 215
21, 240, 0, 128, 232
22, 236, 0, 114, 250
23, 229, 0, 112, 259
24, 214, 0, 117, 269
25, 201, 0, 119, 280
26, 185, 0, 120, 295
27, 171, 0, 126, 303
28, 163, 0, 123, 314
29, 160, 0, 118, 322
30, 154, 0, 108, 338
31, 147, 0, 102, 351
32, 141, 0, 98, 361
33, 136, 0, 97, 367
34, 131, 0, 92, 377
35, 115, 0, 94, 391
36, 106, 0, 91, 403
37, 94, 0, 91, 415
38, 81, 0, 95, 424
39, 70, 0, 90, 440
40, 58, 0, 94, 448
41, 53, 0, 90, 457
42, 50, 0, 83, 467
43, 37, 0, 84, 479
44, 34, 0, 77, 489
45, 29, 0, 77, 494
46, 25, 0, 75, 500
47, 23, 0, 68, 509
48, 20, 0, 62, 518
49, 16, 0, 62, 522
50, 10, 0, 61, 529
51, 4, 0, 64, 532
52, 3, 0, 55, 542
53, 1, 0, 51, 548
54, 1, 0, 45, 554
55, 1, 0, 40, 559
56, 0, 0, 32, 568
57, 0, 0, 30, 570
58, 0, 0, 28, 572
59, 0, 0, 28, 572
60, 0, 0, 25, 575
61, 0, 0, 22, 578
62, 0, 0, 19, 581
63, 0, 0, 16, 584
64, 0, 0, 12, 588
65, 0, 0, 11, 589
66, 0, 0, 10, 590
67, 0, 0, 8, 592
68, 0, 0, 8, 592
69, 0, 0, 8, 592
70, 0, 0, 8, 592
71, 0, 0, 8, 592
72, 0, 0, 7, 593
73, 0, 0, 7, 593
74, 0, 0, 7, 593
75, 0, 0, 7, 593
76, 0, 0, 6, 594
77, 0, 0, 6, 594
78, 0, 0, 6, 594
79, 0, 0, 5, 595
80, 0, 0, 5, 595
81, 0, 0, 3, 597
82, 0, 0, 3, 597
83, 0, 0, 3, 597
84, 0, 0, 3, 597
85, 0, 0, 3, 597
86, 0, 0, 3, 597
87, 0, 0, 3, 597
88, 0, 0, 3, 597
89, 0, 0, 3, 597
90, 0, 0, 3, 597
91, 0, 0, 3, 597
92, 0, 0, 3, 597
93, 0, 0, 3, 597
94, 0, 0, 2, 598
95, 0, 0, 2, 598
96, 0, 0, 2, 598
97, 0, 0, 2, 598
98, 0, 0, 1, 599
99, 0, 0, 1, 599
