timestep, s, u, i, r
0, 589, 6, 5, 0
1, 578, 15, 4, 3
2, 562, 29, 4, 5
3, 541, 46, 7, 6
4, 529, 43, 14, 14
5, 508, 49, 24, 19
6, 482, 49, 40, 29
7, 459, 60, 44, 37
8, 448, 50, 50, 52
9, 427, 46, 63, 64
10, 412, 38, 75, 75
11, 401, 39, 70, 90
12, 385, 36, 77, 102
13, 380, 29, 83, 108
14, 370, 26, 83, 121
15, 358, 22, 86, 134
16, 347, 25, 81, 147
17, 343, 24, 79, 154
18, 337, 18, 79, 166
19, 328, 18, 76, 178
20, 312, 31, 75, 182
21, 293, 42, 73, 192
22, 274, 46, 74, 206
23, 261, 44, 80, 215
24, 253, 36, 86, 225
25, 250, 21, 95, 234
26, 234, 25, 98, 243
27, 217, 32, 99, 252
28, 202, 43, 82, 273
29, 183, 44, 86, 287
30, 171, 41, 89, 299
31, 158, 38, 90, 314
32, 144, 35, 98, 323
33, 126, 43, 99, 332
34, 115, 37, 97, 351
35, 110, 25, 95, 370
36, 102, 20, 95, 383
37, 93, 18, 94, 395
38, 85, 21, 89, 405
39, 70, 27, 84, 419
40, 67, 21, 85, 427
41, 64, 15, 83, 438
42, 60, 8, 79, 453
43, 53, 13, 70, 464
44, 49, 13, 66, 472
45, 47, 10, 55, 488
46, 43, 7, 59, 491
47, 39, 8, 52, 501
48, 34, 12, 50, 504
49, 30, 11, 48, 511
50, 30, 7, 48, 515
51, 28, 5, 49, 518
52, 26, 4, 45, 525
53, 22, 7, 42, 529
54, 19, 8, 42, 531
55, 16, 8, 42, 534
56, 13, 7, 41, 539
57, 13, 4, 40, 543
58, 13, 2, 36, 549
59, 13, 0, 34, 553
60, 12, 1, 33, 554
61, 11, 2, 26, 561
62, 10, 1, 20, 569
63, 9, 1, 20, 570
64, 8, 1, 18, 573
65, 8, 1, 15, 576
66, 5, 4, 14, 577
67, 4, 4, 14, 578
68, 3, 5, 13, 579
69, 1, 4, 13, 582
70, 1, 3, 13, 583
71, 1, 2, 14, 583
72, 1, 0, 15, 584
73, 1, 0, 15, 584
74, 1, 0, 13, 586
75, 1, 0, 11, 588
76, 1, 0, 10, 589
77, 1, 0, 6, 593
78, 1, 0, 5, 594
79, 1, 0, 5, 594
80, 1, 0, 5, 594
81, 1, 0, 5, 594
82, 1, 0, 5, 594
83, 1, 0, 3, 596
84, 1, 0, 3, 596
85, 1, 0, 3, 596
86, 1, 0, 2, 597
87, 1, 0, 2, 597
88, 1, 0, 2, 597
89, 1, 0, 1, 598
90, 1, 0, 1, 598
91, 1, 0, 1, 598
92, 1, 0, 1, 598
93, 1, 0, 1, 598
94, 1, 0, 1, 598
95, 1, 0, 1, 598
96, 1, 0, 1, 598
97, 1, 0, 1, 598
98, 1, 0, 1, 598
99, 1, 0, 1, 598
