timestep, s, u, i, r
0, 585, 10, 5, 0
1, 579, 14, 4, 3
2, 568, 23, 1, 8
3, 550, 31, 8, 11
4, 540, 32, 10, 18
5, 529, 31, 17, 23
6, 510, 33, 28, 29
7, 487, 44, 29, 40
8, 471, 48, 34, 47
9, 450, 53, 44, 53
10, 425, 55, 60, 60
11, 413, 49, 64, 74
12, 403, 39, 71, 87
13, 394, 26, 86, 94
14, 383, 25, 92, 100
15, 373, 25, 91, 111
16, 355, 34, 89, 122
17, 346, 31, 92, 131
18, 335, 32, 95, 138
19, 325, 25, 102, 148
20, 316, 24, 99, 161
21, 305, 26, 97, 172
22, 296, 25, 93, 186
23, 290, 22, 88, 200
24, 280, 24, 82, 214
25, 265, 27, 84, 224
26, 259, 26, 80, 235
27, 256, 19, 80, 245
28, 250, 13, 87, 250
29, 240, 19, 78, 263
30, 232, 23, 76, 269
31, 227, 20, 74, 279
32, 219, 18, 73, 290
33, 208, 21, 72, 299
34, 197, 28, 66, 309
35, 188, 23, 65, 324
36, 186, 13, 66, 335
37, 184, 9, 63, 344
38, 181, 7, 62, 350
39, 177, 7, 59, 357
40, 175, 7, 56, 362
41, 174, 4, 54, 368
42, 172, 4, 50, 374
43, 170, 5, 45, 380
44, 168, 6, 44, 382
45, 164, 8, 39, 389
46, 164, 5, 39, 392
47, 161, 6, 39, 394
48, 161, 2, 38, 399
49, 160, 1, 35, 404
50, 160, 0, 34, 406
51, 160, 0, 33, 407
52, 160, 0, 30, 410
53, 160, 0, 26, 414
54, 160, 0, 24, 416
55, 160, 0, 21, 419
56, 160, 0, 19, 421
57, 160, 0, 17, 423
58, 160, 0, 15, 425
59, 160, 0, 11, 429
60, 160, 0, 11, 429
61, 160, 0, 9, 431
62, 160, 0, 6, 434
63, 160, 0, 4, 436
64, 160, 0, 4, 436
65, 160, 0, 4, 436
66, 160, 0, 2, 438
67, 160, 0, 2, 438
68, 160, 0, 1, 439
69, 160, 0, 1, 439
70, 160, 0, 1, 439
71, 160, 0, 1, 439
72, 160, 0, 1, 439
73, 160, 0, 1, 439
74, 160, 0, 1, 439
75, 160, 0, 1, 439
76, 160, 0, 1, 439
77, 160, 0, 1, 439
78, 160, 0, 1, 439
79, 160, 0, 1, 439
80, 160, 0, 1, 439
81, 160, 0, 1, 439
82, 160, 0, 1, 439
83, 160, 0, 0, 440
