timestep, s, u, i, r
0, 589, 6, 5, 0
1, 585, 10, 5, 0
2, 573, 21, 4, 2
3, 563, 22, 8, 7
4, 543, 33, 12, 12
5, 534, 32, 21, 13
6, 508, 41, 24, 27
7, 494, 39, 32, 35
8, 479, 45, 33, 43
9, 468, 35, 49, 48
10, 446, 41, 58, 55
11, 433, 41, 65, 61
12, 427, 34, 65, 74
13, 422, 20, 73, 85
14, 408, 21, 77, 94
15, 398, 26, 69, 107
16, 386, 31, 66, 117
17, 381, 21, 69, 129
18, 369, 25, 70, 136
19, 362, 23, 70, 145
20, 354, 23, 69, 154
21, 350, 18, 69, 163
22, 345, 14, 68, 173
23, 340, 11, 66, 183
24, 333, 13, 63, 191
25, 329, 13, 60, 198
26, 326, 12, 52, 210
27, 316, 14, 52, 218
28, 311, 16, 53, 220
29, 305, 17, 51, 227
30, 300, 13, 51, 236
31, 297, 11, 50, 242
32, 284, 20, 50, 246
33, 280, 18, 49, 253
34, 275, 20, 50, 255
35, 271, 10, 58, 261
36, 267, 11, 51, 271
37, 262, 11, 47, 280
38, 257, 12, 45, 286
39, 248, 17, 45, 290
40, 240, 17, 47, 296
41, 238, 15, 46, 301
42, 234, 12, 46, 308
43, 229, 11, 46, 314
44, 224, 12, 43, 321
45, 218, 12, 44, 326
46, 217, 10, 43, 330
47, 213, 11, 41, 335
48, 213, 4, 44, 339
49, 211, 4, 41, 344
50, 209, 3, 38, 350
51, 207, 5, 36, 352
52, 202, 9, 37, 352
53, 197, 11, 36, 356
54, 192, 13, 34, 361
55, 184, 14, 37, 365
56, 177, 15, 39, 369
57, 173, 16, 34, 377
58, 170, 10, 37, 383
59, 168, 9, 37, 386
60, 164, 9, 37, 390
61, 163, 6, 34, 397
62, 156, 11, 29, 404
63, 151, 12, 29, 408
64, 144, 18, 30, 408
65, 138, 17, 33, 412
66, 133, 15, 33, 419
67, 130, 12, 36, 422
68, 129, 9, 36, 426
69, 127, 6, 39, 428
70, 125, 5, 37, 433
71, 122, 6, 36, 436
72, 118, 9, 35, 438
73, 112, 12, 36, 440
74, 108, 13, 39, 440
75, 104, 11, 38, 447
76, 101, 8, 35, 456
77, 100, 6, 34, 460
78, 97, 5, 32, 466
79, 95, 5, 32, 468
80, 92, 8, 29, 471
81, 90, 7, 30, 473
82, 88, 6, 30, 476
83, 87, 3, 26, 484
84, 87, 2, 22, 489
85, 87, 1, 23, 489
86, 87, 0, 22, 491
87, 87, 0, 20, 493
88, 87, 0, 18, 495
89, 87, 0, 16, 497
90, 87, 0, 15, 498
91, 87, 0, 15, 498
92, 87, 0, 15, 498
93, 87, 0, 14, 499
94, 87, 0, 12, 501
95, 87, 0, 11, 502
96, 87, 0, 10, 503
97, 87, 0, 8, 505
98, 87, 0, 8, 505
99, 87, 0, 8, 505
