timestep, s, u, i, r
0, 586, 7, 4, 3
1, 578, 12, 3, 7
2, 569, 20, 3, 8
3, 550, 28, 8, 14
4, 534, 33, 12, 21
5, 523, 34, 13, 30
6, 512, 29, 25, 34
7, 505, 22, 29, 44
8, 500, 18, 31, 51
9, 489, 22, 35, 54
10, 472, 32, 36, 60
11, 448, 48, 36, 68
12, 431, 48, 44, 77
13, 417, 45, 51, 87
14, 410, 34, 62, 94
15, 389, 41, 64, 106
16, 373, 42, 71, 114
17, 361, 43, 71, 125
18, 349, 35, 77, 139
19, 337, 30, 83, 150
20, 326, 27, 85, 162
21, 316, 28, 85, 171
22, 304, 28, 86, 182
23, 297, 25, 82, 196
24, 292, 18, 73, 217
25, 282, 17, 71, 230
26, 276, 20, 66, 238
27, 269, 22, 58, 251
28, 257, 21, 59, 263
29, 251, 21, 55, 273
30, 244, 21, 58, 277
31, 243, 12, 61, 284
32, 237, 11, 59, 293
33, 231, 12, 54, 303
34, 226, 15, 50, 309
35, 208, 27, 50, 315
36, 200, 24, 53, 323
37, 196, 25, 47, 332
38, 188, 19, 58, 335
39, 170, 29, 58, 343
40, 163, 29, 61, 347
41, 153, 31, 64, 352
42, 143, 25, 69, 363
43, 135, 22, 61, 382
44, 127, 20, 63, 390
45, 119, 21, 64, 396
46, 111, 23, 62, 404
47, 109, 14, 64, 413
48, 105, 11, 56, 428
49, 97, 14, 52, 437
50, 87, 21, 49, 443
51, 81, 23, 47, 449
52, 75, 18, 47, 460
53, 73, 12, 50, 465
54, 70, 9, 46, 475
55, 64, 9, 47, 480
56, 59, 11, 42, 488
57, 56, 13, 40, 491
58, 53, 9, 40, 498
59, 48, 11, 35, 506
60, 43, 13, 33, 511
61, 36, 17, 34, 513
62, 33, 14, 37, 516
63, 31, 10, 35, 524
64, 27, 9, 35, 529
65, 24, 9, 37, 530
66, 24, 6, 36, 534
67, 23, 3, 35, 539
68, 21, 3, 34, 542
69, 19, 5, 31, 545
70, 15, 8, 30, 547
71, 14, 7, 29, 550
72, 12, 7, 30, 551
73, 12, 3, 33, 552
74, 11, 3, 29, 557
75, 9, 3, 29, 559
76, 7, 2, 26, 565
77, 6, 2, 21, 571
78, 5, 2, 21, 572
79, 5, 1, 19, 575
80, 4, 2, 18, 576
81, 3, 2, 18, 577
82, 3, 2, 15, 580
83, 3, 1, 14, 582
84, 3, 0, 14, 583
85, 3, 0, 13, 584
86, 3, 0, 13, 584
87, 3, 0, 10, 587
88, 3, 0, 10, 587
89, 3, 0, 10, 587
90, 3, 0, 9, 588
91, 3, 0, 9, 588
92, 3, 0, 8, 589
93, 3, 0, 8, 589
94, 3, 0, 6, 591
95, 3, 0, 6, 591
96, 1, 2, 5, 592
97, 1, 2, 5, 592
98, 1, 2, 4, 593
99, 1, 0, 6, 593
