timestep, s, u, i, r
0, 593, 2, 4, 1
1, 587, 7, 4, 2
2, 576, 17, 4, 3
3, 567, 22, 4, 7
4, 554, 29, 8, 9
5, 539, 32, 15, 14
6, 531, 31, 17, 21
7, 517, 31, 27, 25
8, 511, 26, 34, 29
9, 490, 36, 40, 34
10, 472, 38, 43, 47
11, 449, 52, 42, 57
12, 442, 37, 52, 69
13, 437, 27, 57, 79
14, 429, 16, 68, 87
15, 417, 22, 65, 96
16, 398, 31, 58, 113
17, 384, 34, 57, 125
18, 370, 38, 57, 135
19, 363, 31, 60, 146
20, 350, 29, 66, 155
21, 344, 20, 74, 162
22, 342, 14, 65, 179
23, 335, 14, 62, 189
24, 327, 16, 59, 198
25, 323, 19, 52, 206
26, 305, 27, 55, 213
27, 290, 33, 56, 221
28, 284, 32, 59, 225
29, 283, 17, 64, 236
30, 283, 5, 69, 243
31, 281, 3, 65, 251
32, 281, 2, 58, 259
33, 278, 5, 51, 266
34, 277, 3, 44, 276
35, 276, 4, 38, 282
36, 276, 1, 34, 289
37, 276, 1, 33, 290
38, 275, 1, 29, 295
39, 274, 2, 27, 297
40, 271, 5, 25, 299
41, 265, 10, 25, 300
42, 262, 10, 25, 303
43, 262, 7, 23, 308
44, 261, 4, 22, 313
45, 258, 4, 23, 315
46, 255, 6, 22, 317
47, 254, 6, 20, 320
48, 252, 5, 19, 324
49, 252, 3, 20, 325
50, 251, 3, 20, 326
51, 248, 4, 17, 331
52, 242, 9, 17, 332
53, 239, 11, 18, 332
54, 238, 9, 20, 333
55, 237, 3, 24, 336
56, 234, 5, 21, 340
57, 233, 4, 19, 344
58, 231, 4, 18, 347
59, 229, 3, 19, 349
60, 227, 4, 19, 350
61, 222, 8, 18, 352
62, 221, 8, 18, 353
63, 221, 6, 19, 354
64, 218, 4, 23, 355
65, 216, 5, 20, 359
66, 214, 6, 19, 361
67, 212, 6, 20, 362
68, 212, 4, 21, 363
69, 209, 4, 20, 367
70, 209, 2, 18, 371
71, 209, 2, 16, 373
72, 208, 1, 14, 377
73, 208, 1, 14, 377
74, 205, 3, 14, 378
75, 205, 2, 14, 379
76, 205, 2, 12, 381
77, 205, 0, 12, 383
78, 205, 0, 11, 384
79, 205, 0, 9, 386
80, 205, 0, 8, 387
81, 205, 0, 8, 387
82, 205, 0, 8, 387
83, 204, 1, 5, 390
84, 204, 0, 4, 392
85, 204, 0, 3, 393
86, 204, 0, 3, 393
87, 204, 0, 2, 394
88, 204, 0, 2, 394
89, 204, 0, 2, 394
90, 204, 0, 2, 394
91, 204, 0, 1, 395
92, 204, 0, 0, 396
