timestep, s, u, i, r
0, 584, 9, 5, 2
1, 570, 23, 5, 2
2, 555, 36, 5, 4
3, 513, 58, 14, 15
4, 495, 63, 23, 19
5, 479, 61, 31, 29
6, 460, 49, 57, 34
7, 426, 64, 67, 43
8, 412, 60, 73, 55
9, 393, 58, 81, 68
10, 370, 51, 97, 82
11, 351, 57, 92, 100
12, 332, 51, 98, 119
13, 321, 40, 103, 136
14, 311, 33, 108, 148
15, 299, 32, 109, 160
16, 284, 36, 102, 178
17, 267, 40, 100, 193
18, 245, 46, 102, 207
19, 223, 54, 105, 218
20, 210, 53, 108, 229
21, 197, 43, 108, 252
22, 168, 52, 113, 267
23, 160, 46, 111, 283
24, 155, 35, 108, 302
25, 143, 20, 118, 319
26, 134, 21, 109, 336
27, 126, 25, 96, 353
28, 118, 20, 98, 364
29, 114, 18, 97, 371
30, 114, 10, 92, 384
31, 114, 3, 92, 391
32, 112, 2, 84, 402
33, 111, 3, 76, 410
34, 111, 2, 73, 414
35, 111, 0, 71, 418
36, 110, 1, 64, 425
37, 109, 2, 59, 430
38, 108, 3, 50, 439
39, 106, 4, 45, 445
40, 104, 5, 42, 449
41, 99, 9, 37, 455
42, 97, 8, 37, 458
43, 95, 8, 33, 464
44, 93, 5, 36, 466
45, 92, 3, 35, 470
46, 90, 4, 32, 474
47, 88, 5, 31, 476
48, 88, 4, 29, 479
49, 85, 5, 27, 483
50, 82, 6, 28, 484
51, 81, 7, 27, 485
52, 79, 6, 27, 488
53, 76, 6, 25, 493
54, 74, 7, 23, 496
55, 73, 6, 23, 498
56, 73, 3, 22, 502
57, 72, 2, 22, 504
58, 70, 3, 22, 505
59, 68, 5, 17, 510
60, 66, 6, 16, 512
61, 66, 3, 15, 516
62, 66, 2, 16, 516
63, 65, 1, 14, 520
64, 65, 1, 12, 522
65, 64, 2, 12, 522
66, 64, 1, 12, 523
67, 64, 1, 11, 524
68, 64, 0, 12, 524
69, 64, 0, 11, 525
70, 64, 0, 11, 525
71, 64, 0, 9, 527
72, 64, 0, 8, 528
73, 64, 0, 7, 529
74, 64, 0, 7, 529
75, 64, 0, 6, 530
76, 64, 0, 6, 530
77, 64, 0, 5, 531
78, 64, 0, 4, 532
79, 64, 0, 3, 533
80, 64, 0, 3, 533
81, 64, 0, 2, 534
82, 64, 0, 2, 534
83, 64, 0, 2, 534
84, 64, 0, 2, 534
85, 64, 0, 1, 535
86, 64, 0, 0, 536
