timestep, s, u, i, r
0, 580, 15, 5, 0
1, 553, 38, 5, 4
2, 535, 48, 4, 13
3, 516, 51, 13, 20
4, 484, 59, 27, 30
5, 472, 51, 40, 37
6, 464, 37, 52, 47
7, 456, 25, 65, 54
8, 436, 33, 67, 64
9, 429, 29, 65, 77
10, 419, 30, 69, 82
11, 403, 31, 70, 96
12, 388, 37, 63, 112
13, 375, 38, 63, 124
14, 366, 33, 69, 132
15, 358, 30, 68, 144
16, 350, 22, 76, 152
17, 345, 19, 77, 159
18, 342, 16, 74, 168
19, 341, 8, 72, 179
20, 336, 7, 68, 189
21, 333, 8, 61, 198
22, 330, 8, 58, 204
23, 328, 6, 58, 208
24, 323, 9, 53, 215
25, 319, 10, 49, 222
26, 315, 13, 46, 226
27, 314, 8, 45, 233
28, 312, 6, 41, 241
29, 311, 4, 44, 241
30, 306, 8, 40, 246
31, 304, 8, 41, 247
32, 299, 12, 36, 253
33, 294, 11, 37, 258
34, 290, 13, 33, 264
35, 287, 11, 36, 266
36, 279, 15, 36, 270
37, 275, 14, 37, 274
38, 272, 13, 34, 281
39, 265, 14, 37, 284
40, 258, 14, 35, 293
41, 252, 15, 35, 298
42, 248, 14, 39, 299
43, 245, 11, 38, 306
44, 243, 7, 40, 310
45, 236, 10, 39, 315
46, 234, 10, 37, 319
47, 232, 9, 35, 324
48, 229, 7, 37, 327
49, 227, 6, 35, 332
50, 223, 8, 36, 333
51, 222, 5, 36, 337
52, 216, 9, 34, 341
53, 214, 8, 32, 346
54, 212, 9, 29, 350
55, 211, 4, 29, 356
56, 211, 2, 29, 358
57, 210, 2, 27, 361
58, 210, 1, 25, 364
59, 209, 2, 22, 367
60, 208, 2, 20, 370
61, 207, 3, 15, 375
62, 206, 2, 14, 378
63, 204, 3, 14, 379
64, 202, 4, 12, 382
65, 201, 4, 11, 384
66, 200, 4, 9, 387
67, 195, 7, 8, 390
68, 193, 8, 9, 390
69, 192, 6, 10, 392
70, 189, 6, 11, 394
71, 186, 7, 13, 394
72, 184, 6, 14, 396
73, 183, 5, 15, 397
74, 183, 3, 16, 398
75, 182, 2, 15, 401
76, 182, 1, 16, 401
77, 182, 1, 14, 403
78, 182, 0, 13, 405
79, 181, 1, 12, 406
80, 180, 2, 12, 406
81, 180, 2, 12, 406
82, 180, 1, 10, 409
83, 178, 2, 9, 411
84, 178, 2, 7, 413
85, 178, 2, 6, 414
86, 178, 0, 8, 414
87, 178, 0, 8, 414
88, 178, 0, 8, 414
89, 178, 0, 6, 416
90, 178, 0, 4, 418
91, 178, 0, 4, 418
92, 178, 0, 4, 418
93, 178, 0, 4, 418
94, 178, 0, 3, 419
95, 178, 0, 3, 419
96, 178, 0, 3, 419
97, 178, 0, 3, 419
98, 178, 0, 3, 419
99, 178, 0, 3, 419
