timestep, s, u, i, r
0, 586, 7, 4, 3
1, 579, 13, 4, 4
2, 568, 23, 4, 5
3, 555, 28, 10, 7
4, 538, 39, 14, 9
5, 526, 37, 21, 16
6, 512, 37, 30, 21
7, 493, 41, 39, 27
8, 475, 46, 43, 36
9, 456, 49, 49, 46
10, 439, 43, 62, 56
11, 420, 45, 70, 65
12, 401, 48, 75, 76
13, 382, 55, 73, 90
14, 360, 57, 83, 100
15, 342, 50, 90, 118
16, 326, 45, 101, 128
17, 317, 34, 108, 141
18, 306, 29, 115, 150
19, 298, 24, 117, 161
20, 295, 19, 111, 175
21, 289, 14, 106, 191
22, 270, 25, 97, 208
23, 261, 30, 91, 218
24, 253, 33, 91, 223
25, 239, 28, 96, 237
26, 225, 31, 92, 252
27, 221, 28, 93, 258
28, 210, 25, 94, 271
29, 192, 30, 95, 283
30, 181, 34, 90, 295
31, 178, 29, 89, 304
32, 175, 17, 95, 313
33, 170, 10, 92, 328
34, 167, 9, 85, 339
35, 165, 8, 79, 348
36, 164, 6, 73, 357
37, 160, 6, 74, 360
38, 158, 7, 71, 364
39, 154, 10, 65, 371
40, 153, 5, 60, 382
41, 152, 4, 56, 388
42, 150, 3, 53, 394
43, 147, 5, 47, 401
44, 147, 5, 43, 405
45, 146, 4, 42, 408
46, 143, 4, 43, 410
47, 142, 5, 36, 417
48, 138, 8, 36, 418
49, 135, 7, 37, 421
50, 131, 9, 35, 425
51, 129, 6, 33, 432
52, 125, 8, 31, 436
53, 123, 7, 33, 437
54, 121, 8, 33, 438
55, 119, 6, 34, 441
56, 118, 5, 31, 446
57, 117, 3, 29, 451
58, 117, 0, 28, 455
59, 115, 2, 26, 457
60, 114, 2, 23, 461
61, 112, 4, 17, 467
62, 111, 4, 17, 468
63, 110, 3, 16, 471
64, 109, 3, 14, 474
65, 107, 2, 13, 478
66, 105, 3, 13, 479
67, 105, 3, 10, 482
68, 105, 2, 9, 484
69, 104, 1, 9, 486
70, 103, 2, 8, 487
71, 101, 4, 7, 488
72, 100, 4, 7, 489
73, 100, 2, 8, 490
74, 100, 1, 9, 490
75, 100, 0, 9, 491
76, 100, 0, 8, 492
77, 99, 1, 7, 493
78, 98, 2, 7, 493
79, 98, 2, 6, 494
80, 98, 1, 6, 495
81, 98, 0, 7, 495
82, 98, 0, 7, 495
83, 98, 0, 6, 496
84, 98, 0, 5, 497
85, 98, 0, 5, 497
86, 98, 0, 5, 497
87, 98, 0, 5, 497
88, 98, 0, 5, 497
89, 98, 0, 5, 497
90, 98, 0, 4, 498
91, 98, 0, 4, 498
92, 98, 0, 4, 498
93, 98, 0, 4, 498
94, 98, 0, 3, 499
95, 98, 0, 3, 499
96, 98, 0, 3, 499
97, 98, 0, 3, 499
98, 98, 0, 3, 499
99, 98, 0, 2, 500
