timestep, s, u, i, r
0, 587, 0, 12, 1
1, 577, 0, 19, 4
2, 573, 0, 22, 5
3, 560, 0, 31, 9
4, 557, 0, 33, 10
5, 550, 0, 35, 15
6, 540, 0, 39, 21
7, 529, 0, 47, 24
8, 522, 0, 54, 24
9, 513, 0, 55, 32
10, 510, 0, 50, 40
11, 504, 0, 54, 42
12, 499, 0, 56, 45
13, 492, 0, 57, 51
14, 489, 0, 54, 57
15, 486, 0, 53, 61
16, 482, 0, 50, 68
17, 476, 0, 52, 72
18, 470, 0, 58, 72
19, 465, 0, 53, 82
20, 462, 0, 50, 88
21, 459, 0, 49, 92
22, 457, 0, 46, 97
23, 456, 0, 45, 99
24, 453, 0, 43, 104
25, 449, 0, 44, 107
26, 447, 0, 40, 113
27, 442, 0, 41, 117
28, 441, 0, 36, 123
29, 440, 0, 35, 125
30, 440, 0, 30, 130
31, 439, 0, 27, 134
32, 437, 0, 27, 136
33, 436, 0, 24, 140
34, 435, 0, 24, 141
35, 435, 0, 22, 143
36, 433, 0, 23, 144
37, 431, 0, 24, 145
38, 428, 0, 24, 148
39, 427, 0, 22, 151
40, 425, 0, 22, 153
41, 423, 0, 21, 156
42, 420, 0, 23, 157
43, 419, 0, 21, 160
44, 417, 0, 20, 163
45, 414, 0, 19, 167
46, 412, 0, 19, 169
47, 409, 0, 17, 174
48, 408, 0, 17, 175
49, 404, 0, 17, 179
50, 400, 0, 17, 183
51, 398, 0, 14, 188
52, 395, 0, 17, 188
53, 393, 0, 15, 192
54, 392, 0, 16, 192
55, 389, 0, 19, 192
56, 389, 0, 16, 195
57, 385, 0, 20, 195
58, 381, 0, 21, 198
59, 380, 0, 19, 201
60, 380, 0, 18, 202
61, 380, 0, 15, 205
62, 380, 0, 14, 206
63, 380, 0, 11, 209
64, 380, 0, 9, 211
65, 379, 0, 9, 212
66, 378, 0, 9, 213
67, 377, 0, 8, 215
68, 376, 0, 7, 217
69, 375, 0, 8, 217
70, 375, 0, 7, 218
71, 374, 0, 6, 220
72, 372, 0, 8, 220
73, 368, 0, 12, 220
74, 367, 0, 13, 220
75, 365, 0, 14, 221
76, 362, 0, 15, 223
77, 359, 0, 16, 225
78, 358, 0, 17, 225
79, 357, 0, 16, 227
80, 355, 0, 13, 232
81, 355, 0, 11, 234
82, 354, 0, 10, 236
83, 353, 0, 10, 237
84, 352, 0, 11, 237
85, 352, 0, 10, 238
86, 351, 0, 11, 238
87, 349, 0, 10, 241
88, 348, 0, 11, 241
89, 347, 0, 11, 242
90, 347, 0, 10, 243
91, 346, 0, 9, 245
92, 346, 0, 8, 246
93, 346, 0, 6, 248
94, 346, 0, 6, 248
95, 346, 0, 5, 249
96, 346, 0, 5, 249
97, 345, 0, 6, 249
98, 345, 0, 5, 250
99, 343, 0, 5, 252
