timestep, s, u, i, r
0, 586, 0, 12, 2
1, 577, 0, 18, 5
2, 567, 0, 23, 10
3, 560, 0, 30, 10
4, 551, 0, 36, 13
5, 541, 0, 41, 18
6, 536, 0, 39, 25
7, 531, 0, 41, 28
8, 520, 0, 47, 33
9, 516, 0, 44, 40
10, 505, 0, 52, 43
11, 496, 0, 57, 47
12, 483, 0, 61, 56
13, 470, 0, 64, 66
14, 467, 0, 59, 74
15, 457, 0, 63, 80
16, 449, 0, 67, 84
17, 443, 0, 69, 88
18, 437, 0, 69, 94
19, 433, 0, 63, 104
20, 427, 0, 66, 107
21, 419, 0, 67, 114
22, 415, 0, 63, 122
23, 411, 0, 60, 129
24, 406, 0, 59, 135
25, 401, 0, 57, 142
26, 395, 0, 56, 149
27, 390, 0, 58, 152
28, 384, 0, 58, 158
29, 383, 0, 55, 162
30, 379, 0, 52, 169
31, 372, 0, 55, 173
32, 368, 0, 49, 183
33, 361, 0, 52, 187
34, 356, 0, 50, 194
35, 350, 0, 52, 198
36, 344, 0, 57, 199
37, 336, 0, 62, 202
38, 328, 0, 65, 207
39, 325, 0, 59, 216
40, 319, 0, 58, 223
41, 314, 0, 56, 230
42, 308, 0, 58, 234
43, 299, 0, 60, 241
44, 289, 0, 65, 246
45, 285, 0, 63, 252
46, 281, 0, 58, 261
47, 277, 0, 60, 263
48, 275, 0, 54, 271
49, 271, 0, 53, 276
50, 269, 0, 51, 280
51, 267, 0, 50, 283
52, 267, 0, 45, 288
53, 266, 0, 43, 291
54, 263, 0, 42, 295
55, 262, 0, 41, 297
56, 261, 0, 35, 304
57, 259, 0, 33, 308
58, 258, 0, 32, 310
59, 256, 0, 30, 314
60, 254, 0, 31, 315
61, 253, 0, 28, 319
62, 251, 0, 26, 323
63, 249, 0, 25, 326
64, 247, 0, 23, 330
65, 246, 0, 22, 332
66, 246, 0, 21, 333
67, 244, 0, 22, 334
68, 243, 0, 23, 334
69, 241, 0, 24, 335
70, 241, 0, 24, 335
71, 239, 0, 25, 336
72, 238, 0, 25, 337
73, 235, 0, 28, 337
74, 233, 0, 29, 338
75, 233, 0, 27, 340
76, 232, 0, 27, 341
77, 228, 0, 26, 346
78, 226, 0, 22, 352
79, 225, 0, 20, 355
80, 224, 0, 19, 357
81, 221, 0, 20, 359
82, 217, 0, 22, 361
83, 215, 0, 20, 365
84, 214, 0, 19, 367
85, 210, 0, 20, 370
86, 209, 0, 19, 372
87, 207, 0, 18, 375
88, 206, 0, 18, 376
89, 203, 0, 19, 378
90, 201, 0, 20, 379
91, 200, 0, 19, 381
92, 198, 0, 20, 382
93, 198, 0, 18, 384
94, 198, 0, 17, 385
95, 198, 0, 17, 385
96, 198, 0, 16, 386
97, 198, 0, 15, 387
98, 197, 0, 15, 388
99, 196, 0, 14, 390
