timestep, s, u, i, r
0, 588, 0, 11, 1
1, 580, 0, 18, 2
2, 563, 0, 29, 8
3, 554, 0, 37, 9
4, 540, 0, 50, 10
5, 511, 0, 68, 21
6, 494, 0, 79, 27
7, 478, 0, 87, 35
8, 464, 0, 90, 46
9, 454, 0, 94, 52
10, 442, 0, 97, 61
11, 432, 0, 102, 66
12, 421, 0, 107, 72
13, 413, 0, 105, 82
14, 400, 0, 107, 93
15, 390, 0, 102, 108
16, 383, 0, 104, 113
17, 376, 0, 103, 121
18, 364, 0, 108, 128
19, 351, 0, 106, 143
20, 338, 0, 105, 157
21, 330, 0, 99, 171
22, 319, 0, 96, 185
23, 296, 0, 110, 194
24, 271, 0, 122, 207
25, 257, 0, 124, 219
26, 229, 0, 134, 237
27, 215, 0, 138, 247
28, 203, 0, 136, 261
29, 194, 0, 134, 272
30, 180, 0, 136, 284
31, 172, 0, 121, 307
32, 158, 0, 120, 322
33, 152, 0, 118, 330
34, 125, 0, 136, 339
35, 116, 0, 132, 352
36, 106, 0, 122, 372
37, 97, 0, 114, 389
38, 93, 0, 111, 396
39, 87, 0, 110, 403
40, 82, 0, 103, 415
41, 74, 0, 103, 423
42, 67, 0, 103, 430
43, 63, 0, 100, 437
44, 60, 0, 95, 445
45, 55, 0, 90, 455
46, 54, 0, 83, 463
47, 53, 0, 80, 467
48, 52, 0, 74, 474
49, 48, 0, 76, 476
50, 42, 0, 74, 484
51, 40, 0, 72, 488
52, 39, 0, 65, 496
53, 38, 0, 62, 500
54, 37, 0, 54, 509
55, 35, 0, 51, 514
56, 33, 0, 49, 518
57, 32, 0, 48, 520
58, 29, 0, 48, 523
59, 28, 0, 44, 528
60, 27, 0, 39, 534
61, 27, 0, 35, 538
62, 26, 0, 34, 540
63, 25, 0, 32, 543
64, 24, 0, 26, 550
65, 23, 0, 25, 552
66, 23, 0, 21, 556
67, 23, 0, 21, 556
68, 23, 0, 20, 557
69, 23, 0, 20, 557
70, 22, 0, 17, 561
71, 22, 0, 13, 565
72, 21, 0, 12, 567
73, 21, 0, 11, 568
74, 21, 0, 11, 568
75, 21, 0, 9, 570
76, 21, 0, 8, 571
77, 21, 0, 6, 573
78, 21, 0, 5, 574
79, 21, 0, 4, 575
80, 21, 0, 4, 575
81, 21, 0, 4, 575
82, 21, 0, 4, 575
83, 21, 0, 4, 575
84, 21, 0, 3, 576
85, 21, 0, 3, 576
86, 21, 0, 3, 576
87, 21, 0, 3, 576
88, 21, 0, 3, 576
89, 21, 0, 2, 577
90, 21, 0, 2, 577
91, 21, 0, 2, 577
92, 21, 0, 2, 577
93, 21, 0, 2, 577
94, 21, 0, 2, 577
95, 21, 0, 2, 577
96, 21, 0, 2, 577
97, 21, 0, 2, 577
98, 21, 0, 0, 579
