timestep, s, u, i, r
0, 591, 0, 9, 0
1, 584, 0, 14, 2
2, 581, 0, 16, 3
3, 567, 0, 29, 4
4, 560, 0, 33, 7
5, 549, 0, 42, 9
6, 528, 0, 57, 15
7, 515, 0, 66, 19
8, 504, 0, 71, 25
9, 482, 0, 83, 35
10, 469, 0, 86, 45
11, 455, 0, 88, 57
12, 444, 0, 88, 68
13, 429, 0, 98, 73
14, 411, 0, 103, 86
15, 395, 0, 104, 101
16, 378, 0, 111, 111
17, 368, 0, 108, 124
18, 360, 0, 103, 137
19, 351, 0, 100, 149
20, 337, 0, 107, 156
21, 327, 0, 105, 168
22, 320, 0, 101, 179
23, 310, 0, 103, 187
24, 307, 0, 99, 194
25, 303, 0, 98, 199
26, 298, 0, 94, 208
27, 293, 0, 91, 216
28, 288, 0, 85, 227
29, 287, 0, 76, 237
30, 281, 0, 74, 245
31, 277, 0, 71, 252
32, 274, 0, 70, 256
33, 271, 0, 69, 260
34, 270, 0, 66, 264
35, 265, 0, 66, 269
36, 261, 0, 64, 275
37, 257, 0, 59, 284
38, 255, 0, 55, 290
39, 252, 0, 53, 295
40, 249, 0, 50, 301
41, 245, 0, 52, 303
42, 237, 0, 54, 309
43, 234, 0, 49, 317
44, 227, 0, 50, 323
45, 222, 0, 53, 325
46, 217, 0, 52, 331
47, 209, 0, 56, 335
48, 205, 0, 53, 342
49, 199, 0, 55, 346
50, 192, 0, 55, 353
51, 189, 0, 53, 358
52, 183, 0, 55, 362
53, 179, 0, 53, 368
54, 176, 0, 50, 374
55, 167, 0, 56, 377
56, 164, 0, 53, 383
57, 159, 0, 51, 390
58, 156, 0, 52, 392
59, 153, 0, 49, 398
60, 151, 0, 47, 402
61, 150, 0, 44, 406
62, 149, 0, 42, 409
63, 148, 0, 39, 413
64, 146, 0, 39, 415
65, 143, 0, 35, 422
66, 142, 0, 33, 425
67, 142, 0, 28, 430
68, 140, 0, 27, 433
69, 138, 0, 27, 435
70, 136, 0, 25, 439
71, 134, 0, 26, 440
72, 133, 0, 23, 444
73, 131, 0, 24, 445
74, 128, 0, 26, 446
75, 127, 0, 24, 449
76, 124, 0, 26, 450
77, 122, 0, 23, 455
78, 120, 0, 23, 457
79, 119, 0, 23, 458
80, 119, 0, 20, 461
81, 116, 0, 23, 461
82, 113, 0, 23, 464
83, 111, 0, 22, 467
84, 108, 0, 22, 470
85, 106, 0, 21, 473
86, 106, 0, 20, 474
87, 103, 0, 22, 475
88, 100, 0, 24, 476
89, 99, 0, 25, 476
90, 97, 0, 26, 477
91, 96, 0, 26, 478
92, 96, 0, 24, 480
93, 95, 0, 20, 485
94, 93, 0, 21, 486
95, 92, 0, 21, 487
96, 91, 0, 19, 490
97, 89, 0, 19, 492
98, 88, 0, 18, 494
99, 88, 0, 17, 495
