timestep, s, u, i, r
0, 586, 0, 12, 2
1, 577, 0, 20, 3
2, 567, 0, 26, 7
3, 556, 0, 35, 9
4, 549, 0, 41, 10
5, 543, 0, 43, 14
6, 536, 0, 44, 20
7, 525, 0, 49, 26
8, 517, 0, 56, 27
9, 507, 0, 63, 30
10, 504, 0, 63, 33
11, 500, 0, 59, 41
12, 490, 0, 62, 48
13, 480, 0, 69, 51
14, 477, 0, 64, 59
15, 472, 0, 63, 65
16, 465, 0, 64, 71
17, 456, 0, 65, 79
18, 451, 0, 60, 89
19, 447, 0, 60, 93
20, 440, 0, 66, 94
21, 434, 0, 65, 101
22, 426, 0, 69, 105
23, 418, 0, 68, 114
24, 410, 0, 71, 119
25, 403, 0, 68, 129
26, 399, 0, 68, 133
27, 391, 0, 65, 144
28, 386, 0, 67, 147
29, 381, 0, 66, 153
30, 377, 0, 62, 161
31, 374, 0, 57, 169
32, 368, 0, 61, 171
33, 359, 0, 66, 175
34, 356, 0, 62, 182
35, 354, 0, 58, 188
36, 351, 0, 56, 193
37, 350, 0, 52, 198
38, 342, 0, 52, 206
39, 335, 0, 56, 209
40, 330, 0, 56, 214
41, 328, 0, 50, 222
42, 323, 0, 52, 225
43, 318, 0, 53, 229
44, 314, 0, 52, 234
45, 311, 0, 51, 238
46, 303, 0, 57, 240
47, 298, 0, 56, 246
48, 291, 0, 57, 252
49, 287, 0, 54, 259
50, 281, 0, 56, 263
51, 277, 0, 56, 267
52, 271, 0, 58, 271
53, 269, 0, 57, 274
54, 263, 0, 61, 276
55, 261, 0, 56, 283
56, 257, 0, 57, 286
57, 254, 0, 55, 291
58, 250, 0, 53, 297
59, 247, 0, 47, 306
60, 244, 0, 47, 309
61, 240, 0, 45, 315
62, 238, 0, 43, 319
63, 235, 0, 45, 320
64, 230, 0, 46, 324
65, 222, 0, 50, 328
66, 220, 0, 45, 335
67, 218, 0, 39, 343
68, 217, 0, 34, 349
69, 217, 0, 27, 356
70, 217, 0, 22, 361
71, 216, 0, 20, 364
72, 214, 0, 20, 366
73, 213, 0, 17, 370
74, 212, 0, 17, 371
75, 212, 0, 15, 373
76, 211, 0, 15, 374
77, 209, 0, 14, 377
78, 209, 0, 14, 377
79, 209, 0, 12, 379
80, 206, 0, 14, 380
81, 205, 0, 14, 381
82, 204, 0, 15, 381
83, 198, 0, 21, 381
84, 196, 0, 20, 384
85, 195, 0, 20, 385
86, 194, 0, 20, 386
87, 193, 0, 19, 388
88, 191, 0, 20, 389
89, 190, 0, 20, 390
90, 188, 0, 21, 391
91, 186, 0, 20, 394
92, 184, 0, 21, 395
93, 183, 0, 20, 397
94, 182, 0, 18, 400
95, 181, 0, 17, 402
96, 181, 0, 16, 403
97, 181, 0, 16, 403
98, 181, 0, 15, 404
99, 181, 0, 13, 406
