timestep, s, u, i, r
0, 583, 0, 17, 0
1, 567, 0, 30, 3
2, 546, 0, 47, 7
3, 531, 0, 56, 13
4, 512, 0, 71, 17
5, 495, 0, 80, 25
6, 483, 0, 82, 35
7, 466, 0, 90, 44
8, 440, 0, 109, 51
9, 417, 0, 120, 63
10, 397, 0, 126, 77
11, 376, 0, 129, 95
12, 357, 0, 134, 109
13, 340, 0, 131, 129
14, 318, 0, 130, 152
15, 298, 0, 142, 160
16, 286, 0, 140, 174
17, 273, 0, 136, 191
18, 260, 0, 131, 209
19, 248, 0, 126, 226
20, 240, 0, 123, 237
21, 223, 0, 125, 252
22, 212, 0, 122, 266
23, 203, 0, 116, 281
24, 190, 0, 117, 293
25, 177, 0, 107, 316
26, 160, 0, 114, 326
27, 154, 0, 113, 333
28, 150, 0, 105, 345
29, 144, 0, 95, 361
30, 140, 0, 90, 370
31, 138, 0, 83, 379
32, 136, 0, 77, 387
33, 133, 0, 69, 398
34, 131, 0, 64, 405
35, 128, 0, 60, 412
36, 127, 0, 57, 416
37, 124, 0, 57, 419
38, 119, 0, 55, 426
39, 117, 0, 55, 428
40, 116, 0, 50, 434
41, 113, 0, 45, 442
42, 113, 0, 42, 445
43, 109, 0, 42, 449
44, 107, 0, 39, 454
45, 104, 0, 38, 458
46, 103, 0, 31, 466
47, 100, 0, 31, 469
48, 97, 0, 29, 474
49, 94, 0, 31, 475
50, 92, 0, 31, 477
51, 92, 0, 30, 478
52, 91, 0, 31, 478
53, 88, 0, 32, 480
54, 86, 0, 31, 483
55, 86, 0, 24, 490
56, 85, 0, 22, 493
57, 84, 0, 20, 496
58, 84, 0, 19, 497
59, 82, 0, 18, 500
60, 80, 0, 18, 502
61, 80, 0, 17, 503
62, 78, 0, 18, 504
63, 77, 0, 17, 506
64, 77, 0, 16, 507
65, 75, 0, 16, 509
66, 74, 0, 16, 510
67, 72, 0, 15, 513
68, 70, 0, 16, 514
69, 69, 0, 16, 515
70, 67, 0, 18, 515
71, 64, 0, 20, 516
72, 63, 0, 21, 516
73, 61, 0, 22, 517
74, 61, 0, 18, 521
75, 61, 0, 17, 522
76, 61, 0, 15, 524
77, 60, 0, 16, 524
78, 60, 0, 15, 525
79, 60, 0, 15, 525
80, 60, 0, 13, 527
81, 60, 0, 10, 530
82, 60, 0, 9, 531
83, 60, 0, 9, 531
84, 60, 0, 8, 532
85, 60, 0, 8, 532
86, 60, 0, 8, 532
87, 60, 0, 7, 533
88, 60, 0, 6, 534
89, 60, 0, 5, 535
90, 60, 0, 2, 538
91, 60, 0, 1, 539
92, 60, 0, 1, 539
93, 60, 0, 1, 539
94, 60, 0, 1, 539
95, 60, 0, 1, 539
96, 60, 0, 1, 539
97, 60, 0, 1, 539
98, 60, 0, 1, 539
99, 60, 0, 1, 539
