timestep, s, u, i, r
0, 581, 0, 18, 1
1, 556, 0, 37, 7
2, 528, 0, 59, 13
3, 510, 0, 73, 17
4, 485, 0, 90, 25
5, 460, 0, 104, 36
6, 443, 0, 106, 51
7, 429, 0, 115, 56
8, 414, 0, 113, 73
9, 394, 0, 122, 84
10, 377, 0, 130, 93
11, 350, 0, 140, 110
12, 339, 0, 138, 123
13, 327, 0, 134, 139
14, 313, 0, 133, 154
15, 307, 0, 127, 166
16, 296, 0, 125, 179
17, 280, 0, 128, 192
18, 264, 0, 135, 201
19, 257, 0, 128, 215
20, 252, 0, 116, 232
21, 238, 0, 118, 244
22, 223, 0, 121, 256
23, 214, 0, 114, 272
24, 209, 0, 113, 278
25, 200, 0, 113, 287
26, 190, 0, 109, 301
27, 183, 0, 104, 313
28, 179, 0, 96, 325
29, 170, 0, 92, 338
30, 164, 0, 88, 348
31, 156, 0, 87, 357
32, 148, 0, 86, 366
33, 142, 0, 79, 379
34, 139, 0, 73, 388
35, 135, 0, 71, 394
36, 130, 0, 69, 401
37, 124, 0, 73, 403
38, 118, 0, 68, 414
39, 114, 0, 67, 419
40, 109, 0, 65, 426
41, 107, 0, 62, 431
42, 101, 0, 61, 438
43, 97, 0, 60, 443
44, 94, 0, 59, 447
45, 90, 0, 54, 456
46, 87, 0, 55, 458
47, 83, 0, 54, 463
48, 82, 0, 50, 468
49, 82, 0, 45, 473
50, 82, 0, 40, 478
51, 80, 0, 39, 481
52, 77, 0, 40, 483
53, 74, 0, 39, 487
54, 72, 0, 36, 492
55, 71, 0, 35, 494
56, 69, 0, 34, 497
57, 69, 0, 32, 499
58, 69, 0, 29, 502
59, 67, 0, 29, 504
60, 67, 0, 25, 508
61, 66, 0, 25, 509
62, 64, 0, 24, 512
63, 63, 0, 23, 514
64, 61, 0, 23, 516
65, 60, 0, 20, 520
66, 56, 0, 20, 524
67, 54, 0, 19, 527
68, 54, 0, 17, 529
69, 54, 0, 16, 530
70, 52, 0, 17, 531
71, 51, 0, 15, 534
72, 48, 0, 14, 538
73, 48, 0, 12, 540
74, 46, 0, 13, 541
75, 46, 0, 10, 544
76, 46, 0, 9, 545
77, 46, 0, 9, 545
78, 46, 0, 9, 545
79, 46, 0, 8, 546
80, 46, 0, 7, 547
81, 46, 0, 7, 547
82, 46, 0, 5, 549
83, 46, 0, 4, 550
84, 46, 0, 4, 550
85, 46, 0, 4, 550
86, 46, 0, 4, 550
87, 46, 0, 4, 550
88, 46, 0, 4, 550
89, 46, 0, 4, 550
90, 46, 0, 4, 550
91, 46, 0, 4, 550
92, 46, 0, 4, 550
93, 46, 0, 4, 550
94, 46, 0, 4, 550
95, 46, 0, 3, 551
96, 46, 0, 3, 551
97, 46, 0, 3, 551
98, 46, 0, 3, 551
99, 46, 0, 3, 551
