timestep, s, u, i, r
0, 588, 0, 12, 0
1, 584, 0, 15, 1
2, 575, 0, 22, 3
3, 566, 0, 28, 6
4, 550, 0, 41, 9
5, 538, 0, 49, 13
6, 520, 0, 60, 20
7, 499, 0, 73, 28
8, 478, 0, 80, 42
9, 454, 0, 94, 52
10, 442, 0, 97, 61
11, 424, 0, 99, 77
12, 413, 0, 105, 82
13, 401, 0, 107, 92
14, 394, 0, 97, 109
15, 383, 0, 100, 117
16, 372, 0, 103, 125
17, 365, 0, 97, 138
18, 363, 0, 89, 148
19, 359, 0, 84, 157
20, 355, 0, 86, 159
21, 351, 0, 81, 168
22, 346, 0, 81, 173
23, 343, 0, 70, 187
24, 341, 0, 66, 193
25, 339, 0, 61, 200
26, 338, 0, 53, 209
27, 338, 0, 47, 215
28, 336, 0, 45, 219
29, 333, 0, 45, 222
30, 329, 0, 43, 228
31, 326, 0, 41, 233
32, 325, 0, 39, 236
33, 322, 0, 37, 241
34, 321, 0, 35, 244
35, 318, 0, 30, 252
36, 314, 0, 32, 254
37, 311, 0, 31, 258
38, 308, 0, 31, 261
39, 306, 0, 30, 264
40, 303, 0, 30, 267
41, 301, 0, 30, 269
42, 297, 0, 30, 273
43, 295, 0, 28, 277
44, 294, 0, 28, 278
45, 293, 0, 27, 280
46, 291, 0, 24, 285
47, 290, 0, 24, 286
48, 288, 0, 25, 287
49, 287, 0, 23, 290
50, 286, 0, 21, 293
51, 284, 0, 20, 296
52, 282, 0, 22, 296
53, 281, 0, 20, 299
54, 278, 0, 19, 303
55, 277, 0, 18, 305
56, 276, 0, 18, 306
57, 273, 0, 20, 307
58, 271, 0, 18, 311
59, 267, 0, 20, 313
60, 265, 0, 19, 316
61, 260, 0, 21, 319
62, 259, 0, 20, 321
63, 257, 0, 20, 323
64, 251, 0, 23, 326
65, 249, 0, 24, 327
66, 246, 0, 24, 330
67, 246, 0, 22, 332
68, 244, 0, 22, 334
69, 244, 0, 21, 335
70, 242, 0, 21, 337
71, 241, 0, 18, 341
72, 240, 0, 17, 343
73, 240, 0, 16, 344
74, 238, 0, 16, 346
75, 236, 0, 17, 347
76, 236, 0, 16, 348
77, 236, 0, 15, 349
78, 236, 0, 14, 350
79, 236, 0, 13, 351
80, 236, 0, 12, 352
81, 236, 0, 11, 353
82, 236, 0, 9, 355
83, 236, 0, 7, 357
84, 236, 0, 7, 357
85, 236, 0, 6, 358
86, 236, 0, 5, 359
87, 236, 0, 4, 360
88, 236, 0, 4, 360
89, 236, 0, 4, 360
90, 236, 0, 4, 360
91, 236, 0, 3, 361
92, 236, 0, 3, 361
93, 236, 0, 3, 361
94, 236, 0, 2, 362
95, 236, 0, 1, 363
96, 236, 0, 1, 363
97, 236, 0, 1, 363
98, 236, 0, 1, 363
99, 236, 0, 1, 363
