timestep, s, u, i, r
0, 590, 5, 5, 0
1, 587, 8, 5, 0
2, 575, 19, 4, 2
3, 553, 34, 8, 5
4, 537, 44, 10, 9
5, 524, 42, 17, 17
6, 511, 26, 31, 32
7, 503, 21, 36, 40
8, 496, 22, 40, 42
9, 488, 21, 46, 45
10, 482, 20, 47, 51
11, 467, 26, 52, 55
12, 460, 27, 52, 61
13, 454, 27, 53, 66
14, 449, 14, 62, 75
15, 447, 10, 62, 81
16, 446, 6, 61, 87
17, 445, 4, 59, 92
18, 443, 4, 56, 97
19, 438, 7, 51, 104
20, 437, 7, 43, 113
21, 436, 7, 38, 119
22, 435, 3, 40, 122
23, 434, 1, 37, 128
24, 430, 4, 33, 133
25, 428, 6, 28, 138
26, 426, 8, 24, 142
27, 425, 4, 23, 148
28, 425, 3, 21, 151
29, 424, 2, 22, 152
30, 422, 3, 22, 153
31, 421, 3, 21, 155
32, 416, 7, 22, 155
33, 414, 7, 22, 157
34, 412, 9, 21, 158
35, 410, 6, 25, 159
36, 406, 7, 26, 161
37, 403, 8, 25, 164
38, 401, 8, 21, 170
39, 400, 5, 21, 174
40, 399, 4, 19, 178
41, 395, 6, 20, 179
42, 394, 4, 20, 182
43, 392, 6, 20, 182
44, 391, 4, 20, 185
45, 389, 5, 17, 189
46, 387, 5, 18, 190
47, 385, 6, 17, 192
48, 382, 6, 17, 195
49, 381, 5, 16, 198
50, 381, 2, 17, 200
51, 381, 1, 15, 203
52, 381, 0, 13, 206
53, 381, 0, 12, 207
54, 381, 0, 10, 209
55, 381, 0, 10, 209
56, 381, 0, 10, 209
57, 381, 0, 9, 210
58, 381, 0, 9, 210
59, 381, 0, 7, 212
60, 381, 0, 7, 212
61, 381, 0, 6, 213
62, 381, 0, 6, 213
63, 381, 0, 5, 214
64, 381, 0, 5, 214
65, 381, 0, 5, 214
66, 381, 0, 4, 215
67, 381, 0, 4, 215
68, 381, 0, 4, 215
69, 381, 0, 3, 216
70, 381, 0, 3, 216
71, 381, 0, 2, 217
72, 381, 0, 1, 218
73, 381, 0, 1, 218
74, 381, 0, 1, 218
75, 381, 0, 1, 218
76, 381, 0, 1, 218
77, 381, 0, 1, 218
78, 381, 0, 0, 219
