timestep, s, u, i, r
0, 587, 8, 5, 0
1, 580, 15, 5, 0
2, 564, 29, 4, 3
3, 552, 32, 12, 4
4, 542, 33, 14, 11
5, 534, 26, 25, 15
6, 524, 23, 31, 22
7, 510, 29, 33, 28
8, 487, 40, 38, 35
9, 479, 37, 43, 41
10, 463, 38, 48, 51
11, 457, 25, 59, 59
12, 433, 36, 56, 75
13, 416, 38, 59, 87
14, 405, 43, 60, 92
15, 375, 46, 72, 107
16, 358, 45, 78, 119
17, 348, 44, 72, 136
18, 340, 29, 76, 155
19, 337, 18, 82, 163
20, 336, 10, 81, 173
21, 336, 3, 84, 177
22, 336, 0, 77, 187
23, 336, 0, 71, 193
24, 336, 0, 66, 198
25, 336, 0, 57, 207
26, 336, 0, 50, 214
27, 336, 0, 45, 219
28, 336, 0, 41, 223
29, 336, 0, 36, 228
30, 336, 0, 33, 231
31, 336, 0, 30, 234
32, 336, 0, 30, 234
33, 336, 0, 26, 238
34, 336, 0, 23, 241
35, 336, 0, 21, 243
36, 336, 0, 19, 245
37, 336, 0, 15, 249
38, 336, 0, 15, 249
39, 336, 0, 13, 251
40, 336, 0, 12, 252
41, 336, 0, 11, 253
42, 336, 0, 10, 254
43, 336, 0, 9, 255
44, 336, 0, 8, 256
45, 336, 0, 7, 257
46, 336, 0, 7, 257
47, 336, 0, 6, 258
48, 336, 0, 5, 259
49, 336, 0, 5, 259
50, 336, 0, 4, 260
51, 336, 0, 4, 260
52, 336, 0, 3, 261
53, 336, 0, 3, 261
54, 336, 0, 3, 261
55, 336, 0, 3, 261
56, 336, 0, 2, 262
57, 336, 0, 2, 262
58, 336, 0, 2, 262
59, 336, 0, 2, 262
60, 336, 0, 2, 262
61, 336, 0, 1, 263
62, 336, 0, 1, 263
63, 336, 0, 1, 263
64, 336, 0, 1, 263
65, 336, 0, 1, 263
66, 336, 0, 1, 263
67, 336, 0, 1, 263
68, 336, 0, 1, 263
69, 336, 0, 1, 263
70, 336, 0, 1, 263
71, 336, 0, 1, 263
72, 336, 0, 1, 263
73, 336, 0, 1, 263
74, 336, 0, 1, 263
75, 336, 0, 1, 263
76, 336, 0, 1, 263
77, 336, 0, 1, 263
78, 336, 0, 1, 263
79, 336, 0, 1, 263
80, 336, 0, 1, 263
81, 336, 0, 1, 263
82, 336, 0, 1, 263
83, 336, 0, 1, 263
84, 336, 0, 1, 263
85, 336, 0, 1, 263
86, 336, 0, 1, 263
87, 336, 0, 1, 263
88, 336, 0, 1, 263
89, 336, 0, 1, 263
90, 336, 0, 1, 263
91, 336, 0, 1, 263
92, 336, 0, 1, 263
93, 336, 0, 0, 264
