timestep, s, u, i, r
0, 583, 11, 3, 3
1, 574, 19, 3, 4
2, 564, 26, 2, 8
3, 545, 32, 9, 14
4, 539, 28, 15, 18
5, 533, 21, 23, 23
6, 532, 10, 32, 26
7, 531, 6, 35, 28
8, 531, 2, 36, 31
9, 529, 3, 32, 36
10, 528, 3, 31, 38
11, 524, 7, 31, 38
12, 521, 7, 28, 44
13, 518, 8, 28, 46
14, 517, 6, 29, 48
15, 516, 5, 30, 49
16, 516, 2, 28, 54
17, 515, 2, 25, 58
18, 515, 1, 24, 60
19, 515, 0, 22, 63
20, 515, 0, 18, 67
21, 515, 0, 16, 69
22, 515, 0, 15, 70
23, 515, 0, 11, 74
24, 515, 0, 9, 76
25, 515, 0, 7, 78
26, 515, 0, 6, 79
27, 515, 0, 5, 80
28, 515, 0, 5, 80
29, 515, 0, 4, 81
30, 515, 0, 4, 81
31, 515, 0, 4, 81
32, 515, 0, 4, 81
33, 515, 0, 4, 81
34, 515, 0, 4, 81
35, 515, 0, 4, 81
36, 515, 0, 4, 81
37, 515, 0, 4, 81
38, 515, 0, 3, 82
39, 515, 0, 3, 82
40, 515, 0, 3, 82
41, 515, 0, 3, 82
42, 515, 0, 3, 82
43, 515, 0, 3, 82
44, 515, 0, 3, 82
45, 515, 0, 3, 82
46, 515, 0, 3, 82
47, 515, 0, 2, 83
48, 515, 0, 2, 83
49, 515, 0, 2, 83
50, 515, 0, 2, 83
51, 515, 0, 2, 83
52, 515, 0, 2, 83
53, 515, 0, 2, 83
54, 515, 0, 1, 84
55, 515, 0, 1, 84
56, 515, 0, 1, 84
57, 515, 0, 1, 84
58, 515, 0, 1, 84
59, 515, 0, 1, 84
60, 515, 0, 1, 84
61, 515, 0, 1, 84
62, 515, 0, 1, 84
63, 515, 0, 1, 84
64, 515, 0, 1, 84
65, 515, 0, 1, 84
66, 515, 0, 1, 84
67, 515, 0, 1, 84
68, 515, 0, 1, 84
69, 515, 0, 1, 84
70, 515, 0, 1, 84
71, 515, 0, 1, 84
72, 515, 0, 1, 84
73, 515, 0, 0, 85
