timestep, s, u, i, r
0, 589, 6, 5, 0
1, 581, 13, 5, 1
2, 576, 15, 4, 5
3, 558, 29, 7, 6
4, 528, 48, 13, 11
5, 496, 67, 17, 20
6, 484, 59, 28, 29
7, 459, 53, 48, 40
8, 440, 49, 63, 48
9, 424, 48, 66, 62
10, 395, 53, 75, 77
11, 383, 47, 81, 89
12, 370, 47, 84, 99
13, 357, 33, 96, 114
14, 346, 32, 95, 127
15, 334, 31, 98, 137
16, 326, 25, 95, 154
17, 314, 27, 92, 167
18, 306, 25, 94, 175
19, 294, 28, 92, 186
20, 283, 27, 90, 200
21, 266, 33, 82, 219
22, 257, 30, 89, 224
23, 250, 26, 90, 234
24, 247, 15, 90, 248
25, 243, 11, 93, 253
26, 242, 7, 88, 263
27, 240, 4, 82, 274
28, 238, 4, 79, 279
29, 238, 3, 75, 284
30, 238, 1, 72, 289
31, 238, 0, 65, 297
32, 238, 0, 58, 304
33, 238, 0, 54, 308
34, 238, 0, 47, 315
35, 238, 0, 45, 317
36, 238, 0, 42, 320
37, 238, 0, 41, 321
38, 238, 0, 36, 326
39, 238, 0, 33, 329
40, 238, 0, 32, 330
41, 238, 0, 29, 333
42, 238, 0, 26, 336
43, 238, 0, 23, 339
44, 238, 0, 20, 342
45, 238, 0, 16, 346
46, 238, 0, 14, 348
47, 238, 0, 12, 350
48, 238, 0, 11, 351
49, 238, 0, 10, 352
50, 238, 0, 10, 352
51, 238, 0, 9, 353
52, 238, 0, 9, 353
53, 238, 0, 9, 353
54, 238, 0, 8, 354
55, 238, 0, 7, 355
56, 238, 0, 7, 355
57, 238, 0, 7, 355
58, 238, 0, 7, 355
59, 238, 0, 6, 356
60, 238, 0, 5, 357
61, 238, 0, 3, 359
62, 238, 0, 3, 359
63, 238, 0, 3, 359
64, 238, 0, 3, 359
65, 238, 0, 3, 359
66, 238, 0, 1, 361
67, 238, 0, 1, 361
68, 238, 0, 1, 361
69, 238, 0, 1, 361
70, 238, 0, 1, 361
71, 238, 0, 0, 362
