timestep, s, u, i, r
0, 590, 4, 5, 1
1, 589, 5, 4, 2
2, 583, 9, 4, 4
3, 578, 10, 7, 5
4, 566, 21, 6, 7
5, 561, 19, 9, 11
6, 548, 23, 13, 16
7, 536, 25, 13, 26
8, 530, 26, 13, 31
9, 515, 29, 23, 33
10, 512, 21, 28, 39
11, 506, 19, 30, 45
12, 490, 18, 42, 50
13, 484, 23, 39, 54
14, 472, 30, 43, 55
15, 459, 25, 53, 63
16, 449, 29, 51, 71
17, 445, 20, 54, 81
18, 438, 17, 57, 88
19, 428, 17, 58, 97
20, 419, 23, 52, 106
21, 401, 34, 50, 115
22, 394, 32, 51, 123
23, 389, 28, 51, 132
24, 384, 15, 59, 142
25, 381, 12, 63, 144
26, 373, 14, 59, 154
27, 364, 18, 61, 157
28, 355, 20, 57, 168
29, 343, 24, 56, 177
30, 330, 31, 54, 185
31, 319, 32, 58, 191
32, 315, 23, 62, 200
33, 310, 16, 64, 210
34, 302, 16, 68, 214
35, 294, 19, 64, 223
36, 281, 26, 58, 235
37, 277, 23, 59, 241
38, 269, 22, 57, 252
39, 267, 12, 61, 260
40, 265, 11, 57, 267
41, 259, 9, 59, 273
42, 258, 7, 58, 277
43, 255, 8, 51, 286
44, 254, 5, 52, 289
45, 251, 6, 48, 295
46, 251, 2, 48, 299
47, 250, 3, 44, 303
48, 246, 5, 43, 306
49, 245, 6, 37, 312
50, 245, 5, 32, 318
51, 245, 1, 33, 321
52, 245, 0, 28, 327
53, 245, 0, 23, 332
54, 245, 0, 21, 334
55, 245, 0, 19, 336
56, 245, 0, 18, 337
57, 245, 0, 17, 338
58, 245, 0, 15, 340
59, 245, 0, 15, 340
60, 245, 0, 13, 342
61, 245, 0, 13, 342
62, 245, 0, 12, 343
63, 245, 0, 11, 344
64, 245, 0, 10, 345
65, 245, 0, 10, 345
66, 245, 0, 9, 346
67, 245, 0, 9, 346
68, 245, 0, 7, 348
69, 245, 0, 6, 349
70, 245, 0, 6, 349
71, 245, 0, 5, 350
72, 245, 0, 5, 350
73, 245, 0, 4, 351
74, 245, 0, 3, 352
75, 245, 0, 3, 352
76, 245, 0, 2, 353
77, 245, 0, 1, 354
78, 245, 0, 1, 354
79, 245, 0, 1, 354
80, 245, 0, 1, 354
81, 245, 0, 1, 354
82, 245, 0, 1, 354
83, 245, 0, 1, 354
84, 245, 0, 1, 354
85, 245, 0, 1, 354
86, 245, 0, 1, 354
87, 245, 0, 1, 354
88, 245, 0, 1, 354
89, 245, 0, 0, 355
