timestep, s, u, i, r
0, 592, 3, 4, 1
1, 590, 5, 3, 2
2, 584, 8, 3, 5
3, 573, 16, 5, 6
4, 569, 16, 5, 10
5, 565, 15, 8, 12
6, 562, 7, 16, 15
7, 558, 8, 17, 17
8, 551, 12, 17, 20
9, 548, 13, 17, 22
10, 539, 19, 18, 24
11, 528, 21, 22, 29
12, 523, 19, 22, 36
13, 518, 17, 27, 38
14, 510, 15, 32, 43
15, 506, 16, 31, 47
16, 499, 16, 30, 55
17, 488, 21, 31, 60
18, 483, 20, 30, 67
19, 477, 21, 33, 69
20, 465, 20, 42, 73
21, 459, 18, 43, 80
22, 455, 17, 45, 83
23, 449, 16, 48, 87
24, 445, 12, 49, 94
25, 443, 9, 44, 104
26, 437, 9, 43, 111
27, 436, 8, 41, 115
28, 434, 8, 39, 119
29, 431, 5, 40, 124
30, 426, 8, 35, 131
31, 416, 16, 32, 136
32, 412, 15, 33, 140
33, 399, 22, 35, 144
34, 394, 17, 41, 148
35, 392, 15, 37, 156
36, 391, 6, 41, 162
37, 391, 3, 39, 167
38, 391, 1, 39, 169
39, 391, 0, 34, 175
40, 391, 0, 31, 178
41, 391, 0, 26, 183
42, 391, 0, 23, 186
43, 391, 0, 22, 187
44, 391, 0, 18, 191
45, 391, 0, 17, 192
46, 391, 0, 12, 197
47, 391, 0, 12, 197
48, 391, 0, 12, 197
49, 391, 0, 11, 198
50, 391, 0, 11, 198
51, 391, 0, 9, 200
52, 391, 0, 8, 201
53, 391, 0, 8, 201
54, 391, 0, 7, 202
55, 391, 0, 7, 202
56, 391, 0, 6, 203
57, 391, 0, 6, 203
58, 391, 0, 6, 203
59, 391, 0, 6, 203
60, 391, 0, 6, 203
61, 391, 0, 5, 204
62, 391, 0, 5, 204
63, 391, 0, 4, 205
64, 391, 0, 4, 205
65, 391, 0, 3, 206
66, 391, 0, 3, 206
67, 391, 0, 3, 206
68, 391, 0, 2, 207
69, 391, 0, 2, 207
70, 391, 0, 2, 207
71, 391, 0, 2, 207
72, 391, 0, 2, 207
73, 391, 0, 1, 208
74, 391, 0, 1, 208
75, 391, 0, 1, 208
76, 391, 0, 1, 208
77, 391, 0, 1, 208
78, 391, 0, 1, 208
79, 391, 0, 1, 208
80, 391, 0, 1, 208
81, 391, 0, 1, 208
82, 391, 0, 0, 209
