timestep, s, u, i, r
0, 591, 3, 5, 1
1, 572, 19, 5, 4
2, 562, 28, 5, 5
3, 554, 30, 6, 10
4, 551, 13, 19, 17
5, 547, 10, 25, 18
6, 542, 8, 29, 21
7, 539, 9, 28, 24
8, 537, 7, 25, 31
9, 537, 3, 24, 36
10, 528, 10, 24, 38
11, 519, 16, 23, 42
12, 516, 18, 20, 46
13, 513, 13, 24, 50
14, 511, 8, 29, 52
15, 510, 6, 30, 54
16, 505, 8, 28, 59
17, 494, 16, 25, 65
18, 482, 25, 24, 69
19, 478, 24, 24, 74
20, 472, 21, 29, 78
21, 467, 15, 34, 84
22, 462, 16, 33, 89
23, 460, 11, 37, 92
24, 454, 12, 36, 98
25, 445, 16, 37, 102
26, 443, 14, 35, 108
27, 439, 14, 38, 109
28, 435, 9, 42, 114
29, 430, 12, 39, 119
30, 424, 13, 41, 122
31, 420, 14, 39, 127
32, 417, 10, 39, 134
33, 416, 6, 37, 141
34, 414, 5, 35, 146
35, 412, 5, 36, 147
36, 410, 5, 30, 155
37, 409, 5, 28, 158
38, 407, 5, 27, 161
39, 404, 6, 26, 164
40, 400, 6, 26, 168
41, 397, 8, 25, 170
42, 396, 6, 25, 173
43, 395, 4, 26, 175
44, 394, 3, 25, 178
45, 392, 4, 25, 179
46, 390, 5, 23, 182
47, 387, 6, 19, 188
48, 384, 7, 19, 190
49, 382, 8, 20, 190
50, 380, 7, 20, 193
51, 377, 6, 19, 198
52, 376, 5, 19, 200
53, 376, 4, 18, 202
54, 374, 3, 20, 203
55, 373, 3, 19, 205
56, 373, 3, 16, 208
57, 371, 3, 17, 209
58, 370, 1, 13, 216
59, 369, 2, 11, 218
60, 369, 2, 10, 219
61, 369, 0, 10, 221
62, 369, 0, 8, 223
63, 369, 0, 8, 223
64, 369, 0, 8, 223
65, 369, 0, 7, 224
66, 369, 0, 7, 224
67, 369, 0, 7, 224
68, 369, 0, 6, 225
69, 369, 0, 4, 227
70, 369, 0, 3, 228
71, 369, 0, 3, 228
72, 369, 0, 2, 229
73, 369, 0, 2, 229
74, 369, 0, 2, 229
75, 369, 0, 2, 229
76, 369, 0, 2, 229
77, 369, 0, 2, 229
78, 369, 0, 2, 229
79, 369, 0, 2, 229
80, 369, 0, 2, 229
81, 369, 0, 2, 229
82, 369, 0, 2, 229
83, 369, 0, 2, 229
84, 369, 0, 2, 229
85, 369, 0, 2, 229
86, 369, 0, 2, 229
87, 369, 0, 2, 229
88, 369, 0, 2, 229
89, 369, 0, 2, 229
90, 369, 0, 2, 229
91, 369, 0, 2, 229
92, 369, 0, 2, 229
93, 369, 0, 2, 229
94, 369, 0, 1, 230
95, 369, 0, 1, 230
96, 369, 0, 1, 230
97, 369, 0, 1, 230
98, 369, 0, 0, 231
