timestep, s, u, i, r
0, 584, 9, 5, 2
1, 580, 12, 5, 3
2, 575, 16, 5, 4
3, 560, 21, 11, 8
4, 548, 22, 13, 17
5, 535, 33, 12, 20
6, 510, 42, 23, 25
7, 499, 39, 30, 32
8, 492, 32, 36, 40
9, 487, 20, 49, 44
10, 486, 10, 53, 51
11, 485, 6, 52, 57
12, 483, 3, 50, 64
13, 482, 3, 47, 68
14, 480, 4, 43, 73
15, 479, 4, 40, 77
16, 476, 5, 36, 83
17, 475, 5, 35, 85
18, 470, 9, 34, 87
19, 470, 6, 33, 91
20, 470, 5, 30, 95
21, 468, 2, 33, 97
22, 468, 2, 31, 99
23, 466, 4, 26, 104
24, 464, 4, 24, 108
25, 463, 4, 23, 110
26, 462, 4, 21, 113
27, 462, 2, 18, 118
28, 462, 0, 16, 122
29, 462, 0, 15, 123
30, 462, 0, 14, 124
31, 462, 0, 14, 124
32, 462, 0, 14, 124
33, 462, 0, 12, 126
34, 462, 0, 9, 129
35, 462, 0, 7, 131
36, 462, 0, 7, 131
37, 462, 0, 5, 133
38, 462, 0, 5, 133
39, 462, 0, 5, 133
40, 462, 0, 2, 136
41, 462, 0, 2, 136
42, 462, 0, 2, 136
43, 462, 0, 2, 136
44, 462, 0, 2, 136
45, 462, 0, 2, 136
46, 462, 0, 2, 136
47, 462, 0, 2, 136
48, 462, 0, 2, 136
49, 462, 0, 2, 136
50, 462, 0, 2, 136
51, 462, 0, 2, 136
52, 462, 0, 1, 137
53, 462, 0, 1, 137
54, 462, 0, 1, 137
55, 462, 0, 1, 137
56, 462, 0, 1, 137
57, 462, 0, 1, 137
58, 462, 0, 0, 138
