timestep, s, u, i, r
0, 586, 9, 5, 0
1, 579, 15, 4, 2
2, 569, 22, 4, 5
3, 554, 29, 7, 10
4, 549, 26, 12, 13
5, 535, 28, 15, 22
6, 513, 34, 26, 27
7, 500, 36, 29, 35
8, 492, 33, 33, 42
9, 482, 29, 41, 48
10, 475, 25, 49, 51
11, 463, 27, 50, 60
12, 449, 31, 53, 67
13, 444, 25, 52, 79
14, 437, 21, 54, 88
15, 430, 14, 62, 94
16, 426, 13, 60, 101
17, 422, 11, 59, 108
18, 418, 11, 56, 115
19, 413, 12, 52, 123
20, 399, 21, 51, 129
21, 389, 27, 49, 135
22, 383, 27, 50, 140
23, 382, 13, 58, 147
24, 375, 12, 54, 159
25, 370, 13, 53, 164
26, 363, 16, 44, 177
27, 353, 20, 40, 187
28, 349, 17, 45, 189
29, 342, 19, 45, 194
30, 340, 13, 49, 198
31, 335, 12, 45, 208
32, 325, 14, 44, 217
33, 321, 16, 41, 222
34, 317, 16, 42, 225
35, 315, 10, 48, 227
36, 313, 8, 47, 232
37, 313, 4, 47, 236
38, 311, 4, 44, 241
39, 307, 5, 42, 246
40, 304, 6, 34, 256
41, 302, 6, 33, 259
42, 300, 5, 26, 269
43, 296, 7, 26, 271
44, 294, 8, 25, 273
45, 293, 5, 25, 277
46, 291, 3, 23, 283
47, 285, 8, 20, 287
48, 283, 8, 19, 290
49, 275, 12, 20, 293
50, 269, 12, 23, 296
51, 267, 11, 23, 299
52, 262, 12, 23, 303
53, 256, 11, 26, 307
54, 254, 9, 23, 314
55, 253, 6, 24, 317
56, 243, 12, 27, 318
57, 237, 13, 27, 323
58, 230, 15, 26, 329
59, 228, 9, 29, 334
60, 226, 10, 22, 342
61, 225, 5, 28, 342
62, 224, 3, 24, 349
63, 224, 1, 22, 353
64, 224, 0, 19, 357
65, 224, 0, 18, 358
66, 224, 0, 17, 359
67, 224, 0, 15, 361
68, 224, 0, 14, 362
69, 224, 0, 13, 363
70, 224, 0, 11, 365
71, 224, 0, 10, 366
72, 224, 0, 9, 367
73, 224, 0, 8, 368
74, 224, 0, 6, 370
75, 224, 0, 5, 371
76, 224, 0, 5, 371
77, 224, 0, 5, 371
78, 224, 0, 5, 371
79, 224, 0, 5, 371
80, 224, 0, 4, 372
81, 224, 0, 4, 372
82, 224, 0, 4, 372
83, 224, 0, 3, 373
84, 224, 0, 3, 373
85, 224, 0, 2, 374
86, 224, 0, 2, 374
87, 224, 0, 2, 374
88, 224, 0, 1, 375
89, 224, 0, 1, 375
90, 224, 0, 1, 375
91, 224, 0, 1, 375
92, 224, 0, 1, 375
93, 224, 0, 1, 375
94, 224, 0, 1, 375
95, 224, 0, 1, 375
96, 224, 0, 1, 375
97, 224, 0, 1, 375
98, 224, 0, 1, 375
99, 224, 0, 1, 375
