timestep, s, u, i, r
0, 583, 0, 16, 1
1, 583, 0, 13, 4
2, 583, 0, 11, 6
3, 583, 0, 11, 6
4, 583, 0, 9, 8
5, 583, 0, 7, 10
6, 583, 0, 5, 12
7, 583, 0, 5, 12
8, 583, 0, 4, 13
9, 583, 0, 4, 13
10, 583, 0, 4, 13
11, 583, 0, 3, 14
12, 583, 0, 3, 14
13, 583, 0, 2, 15
14, 583, 0, 2, 15
15, 583, 0, 2, 15
16, 583, 0, 2, 15
17, 583, 0, 2, 15
18, 583, 0, 1, 16
19, 583, 0, 1, 16
20, 583, 0, 1, 16
21, 583, 0, 1, 16
22, 583, 0, 1, 16
23, 583, 0, 1, 16
24, 583, 0, 1, 16
25, 583, 0, 1, 16
26, 583, 0, 1, 16
27, 583, 0, 1, 16
28, 583, 0, 1, 16
29, 583, 0, 1, 16
30, 583, 0, 1, 16
31, 583, 0, 1, 16
32, 583, 0, 1, 16
33, 583, 0, 1, 16
34, 583, 0, 1, 16
35, 583, 0, 1, 16
36, 583, 0, 0, 17
