timestep, s, u, i, r
0, 592, 0, 8, 0
1, 592, 0, 7, 1
2, 592, 0, 7, 1
3, 592, 0, 7, 1
4, 592, 0, 6, 2
5, 592, 0, 5, 3
6, 592, 0, 4, 4
7, 592, 0, 4, 4
8, 592, 0, 4, 4
9, 592, 0, 3, 5
10, 592, 0, 3, 5
11, 592, 0, 3, 5
12, 592, 0, 3, 5
13, 592, 0, 3, 5
14, 592, 0, 3, 5
15, 592, 0, 3, 5
16, 592, 0, 2, 6
17, 592, 0, 2, 6
18, 592, 0, 1, 7
19, 592, 0, 1, 7
20, 592, 0, 1, 7
21, 592, 0, 1, 7
22, 592, 0, 1, 7
23, 592, 0, 1, 7
24, 592, 0, 1, 7
25, 592, 0, 1, 7
26, 592, 0, 1, 7
27, 592, 0, 1, 7
28, 592, 0, 1, 7
29, 592, 0, 1, 7
30, 592, 0, 1, 7
31, 592, 0, 1, 7
32, 592, 0, 1, 7
33, 592, 0, 1, 7
34, 592, 0, 1, 7
35, 592, 0, 1, 7
36, 592, 0, 1, 7
37, 592, 0, 0, 8
