timestep, s, u, i, r
0, 587, 0, 12, 1
1, 587, 0, 12, 1
2, 587, 0, 10, 3
3, 587, 0, 9, 4
4, 587, 0, 8, 5
5, 587, 0, 7, 6
6, 587, 0, 7, 6
7, 587, 0, 7, 6
8, 587, 0, 5, 8
9, 587, 0, 4, 9
10, 587, 0, 2, 11
11, 587, 0, 2, 11
12, 587, 0, 2, 11
13, 587, 0, 1, 12
14, 587, 0, 1, 12
15, 587, 0, 1, 12
16, 587, 0, 1, 12
17, 587, 0, 1, 12
18, 587, 0, 1, 12
19, 587, 0, 1, 12
20, 587, 0, 1, 12
21, 587, 0, 1, 12
22, 587, 0, 1, 12
23, 587, 0, 1, 12
24, 587, 0, 1, 12
25, 587, 0, 1, 12
26, 587, 0, 1, 12
27, 587, 0, 1, 12
28, 587, 0, 0, 13
