timestep, s, u, i, r
0, 588, 0, 11, 1
1, 567, 0, 29, 4
2, 548, 0, 45, 7
3, 522, 0, 68, 10
4, 494, 0, 87, 19
5, 463, 0, 108, 29
6, 438, 0, 118, 44
7, 409, 0, 131, 60
8, 384, 0, 144, 72
9, 346, 0, 168, 86
10, 323, 0, 173, 104
11, 291, 0, 186, 123
12, 267, 0, 198, 135
13, 253, 0, 190, 157
14, 242, 0, 176, 182
15, 233, 0, 169, 198
16, 229, 0, 147, 224
17, 218, 0, 148, 234
18, 204, 0, 145, 251
19, 195, 0, 133, 272
20, 185, 0, 125, 290
21, 181, 0, 119, 300
22, 175, 0, 112, 313
23, 169, 0, 108, 323
24, 163, 0, 104, 333
25, 158, 0, 99, 343
26, 154, 0, 91, 355
27, 143, 0, 93, 364
28, 133, 0, 95, 372
29, 124, 0, 96, 380
30, 119, 0, 95, 386
31, 110, 0, 93, 397
32, 102, 0, 92, 406
33, 90, 0, 93, 417
34, 85, 0, 91, 424
35, 80, 0, 83, 437
36, 74, 0, 77, 449
37, 69, 0, 76, 455
38, 66, 0, 68, 466
39, 64, 0, 66, 470
40, 62, 0, 65, 473
41, 56, 0, 60, 484
42, 53, 0, 59, 488
43, 49, 0, 56, 495
44, 47, 0, 47, 506
45, 46, 0, 44, 510
46, 46, 0, 44, 510
47, 41, 0, 44, 515
48, 38, 0, 44, 518
49, 36, 0, 41, 523
50, 34, 0, 41, 525
51, 29, 0, 44, 527
52, 26, 0, 44, 530
53, 23, 0, 42, 535
54, 20, 0, 42, 538
55, 14, 0, 42, 544
56, 9, 0, 44, 547
57, 3, 0, 46, 551
58, 2, 0, 45, 553
59, 2, 0, 40, 558
60, 2, 0, 39, 559
61, 2, 0, 36, 562
62, 2, 0, 32, 566
63, 2, 0, 29, 569
64, 2, 0, 27, 571
65, 2, 0, 24, 574
66, 2, 0, 23, 575
67, 2, 0, 20, 578
68, 2, 0, 17, 581
69, 2, 0, 17, 581
70, 2, 0, 16, 582
71, 2, 0, 15, 583
72, 2, 0, 12, 586
73, 2, 0, 12, 586
74, 2, 0, 11, 587
75, 2, 0, 10, 588
76, 2, 0, 10, 588
77, 2, 0, 10, 588
78, 2, 0, 10, 588
79, 2, 0, 8, 590
80, 2, 0, 8, 590
81, 2, 0, 8, 590
82, 2, 0, 8, 590
83, 2, 0, 7, 591
84, 2, 0, 7, 591
85, 2, 0, 7, 591
86, 2, 0, 6, 592
87, 2, 0, 5, 593
88, 2, 0, 5, 593
89, 2, 0, 5, 593
90, 2, 0, 2, 596
91, 2, 0, 1, 597
92, 2, 0, 1, 597
93, 2, 0, 1, 597
94, 2, 0, 1, 597
95, 2, 0, 1, 597
96, 2, 0, 1, 597
97, 2, 0, 1, 597
98, 2, 0, 0, 598
