timestep, s, u, i, r
0, 581, 0, 17, 2
1, 575, 0, 21, 4
2, 568, 0, 28, 4
3, 560, 0, 33, 7
4, 545, 0, 47, 8
5, 530, 0, 60, 10
6, 513, 0, 67, 20
7, 492, 0, 80, 28
8, 487, 0, 78, 35
9, 467, 0, 85, 48
10, 450, 0, 95, 55
11, 436, 0, 102, 62
12, 421, 0, 107, 72
13, 408, 0, 97, 95
14, 399, 0, 99, 102
15, 392, 0, 96, 112
16, 377, 0, 102, 121
17, 369, 0, 97, 134
18, 357, 0, 98, 145
19, 343, 0, 105, 152
20, 321, 0, 122, 157
21, 306, 0, 125, 169
22, 300, 0, 118, 182
23, 278, 0, 131, 191
24, 265, 0, 130, 205
25, 260, 0, 125, 215
26, 255, 0, 114, 231
27, 247, 0, 107, 246
28, 231, 0, 112, 257
29, 226, 0, 103, 271
30, 218, 0, 100, 282
31, 208, 0, 101, 291
32, 194, 0, 104, 302
33, 175, 0, 113, 312
34, 161, 0, 109, 330
35, 140, 0, 115, 345
36, 130, 0, 111, 359
37, 122, 0, 109, 369
38, 113, 0, 109, 378
39, 108, 0, 104, 388
40, 102, 0, 102, 396
41, 93, 0, 96, 411
42, 87, 0, 93, 420
43, 82, 0, 86, 432
44, 78, 0, 83, 439
45, 63, 0, 90, 447
46, 59, 0, 83, 458
47, 52, 0, 83, 465
48, 44, 0, 83, 473
49, 39, 0, 83, 478
50, 30, 0, 85, 485
51, 27, 0, 76, 497
52, 24, 0, 69, 507
53, 21, 0, 70, 509
54, 13, 0, 70, 517
55, 8, 0, 73, 519
56, 5, 0, 67, 528
57, 4, 0, 59, 537
58, 4, 0, 54, 542
59, 3, 0, 50, 547
60, 1, 0, 48, 551
61, 0, 0, 44, 556
62, 0, 0, 40, 560
63, 0, 0, 38, 562
64, 0, 0, 32, 568
65, 0, 0, 28, 572
66, 0, 0, 26, 574
67, 0, 0, 23, 577
68, 0, 0, 21, 579
69, 0, 0, 21, 579
70, 0, 0, 18, 582
71, 0, 0, 18, 582
72, 0, 0, 17, 583
73, 0, 0, 15, 585
74, 0, 0, 14, 586
75, 0, 0, 11, 589
76, 0, 0, 8, 592
77, 0, 0, 6, 594
78, 0, 0, 5, 595
79, 0, 0, 3, 597
80, 0, 0, 3, 597
81, 0, 0, 2, 598
82, 0, 0, 2, 598
83, 0, 0, 2, 598
84, 0, 0, 2, 598
85, 0, 0, 2, 598
86, 0, 0, 1, 599
87, 0, 0, 1, 599
88, 0, 0, 1, 599
89, 0, 0, 1, 599
90, 0, 0, 1, 599
91, 0, 0, 1, 599
92, 0, 0, 1, 599
93, 0, 0, 1, 599
94, 0, 0, 1, 599
95, 0, 0, 1, 599
96, 0, 0, 0, 600
