timestep, s, u, i, r
0, 581, 0, 18, 1
1, 564, 0, 32, 4
2, 542, 0, 48, 10
3, 514, 0, 68, 18
4, 497, 0, 78, 25
5, 474, 0, 90, 36
6, 466, 0, 91, 43
7, 448, 0, 101, 51
8, 426, 0, 114, 60
9, 406, 0, 125, 69
10, 392, 0, 123, 85
11, 369, 0, 132, 99
12, 348, 0, 141, 111
13, 327, 0, 143, 130
14, 294, 0, 164, 142
15, 277, 0, 158, 165
16, 250, 0, 174, 176
17, 230, 0, 172, 198
18, 221, 0, 159, 220
19, 207, 0, 154, 239
20, 191, 0, 154, 255
21, 167, 0, 162, 271
22, 156, 0, 157, 287
23, 142, 0, 152, 306
24, 129, 0, 149, 322
25, 121, 0, 145, 334
26, 114, 0, 139, 347
27, 105, 0, 136, 359
28, 96, 0, 130, 374
29, 88, 0, 115, 397
30, 83, 0, 104, 413
31, 77, 0, 99, 424
32, 68, 0, 94, 438
33, 66, 0, 91, 443
34, 54, 0, 90, 456
35, 45, 0, 87, 468
36, 43, 0, 81, 476
37, 34, 0, 84, 482
38, 22, 0, 86, 492
39, 14, 0, 83, 503
40, 13, 0, 75, 512
41, 7, 0, 73, 520
42, 5, 0, 71, 524
43, 3, 0, 67, 530
44, 2, 0, 62, 536
45, 2, 0, 56, 542
46, 2, 0, 55, 543
47, 2, 0, 49, 549
48, 2, 0, 47, 551
49, 2, 0, 42, 556
50, 1, 0, 36, 563
51, 1, 0, 32, 567
52, 1, 0, 29, 570
53, 1, 0, 25, 574
54, 1, 0, 24, 575
55, 1, 0, 22, 577
56, 1, 0, 22, 577
57, 1, 0, 22, 577
58, 1, 0, 20, 579
59, 1, 0, 17, 582
60, 0, 0, 16, 584
61, 0, 0, 16, 584
62, 0, 0, 12, 588
63, 0, 0, 12, 588
64, 0, 0, 11, 589
65, 0, 0, 8, 592
66, 0, 0, 7, 593
67, 0, 0, 6, 594
68, 0, 0, 5, 595
69, 0, 0, 5, 595
70, 0, 0, 5, 595
71, 0, 0, 5, 595
72, 0, 0, 4, 596
73, 0, 0, 4, 596
74, 0, 0, 4, 596
75, 0, 0, 4, 596
76, 0, 0, 3, 597
77, 0, 0, 2, 598
78, 0, 0, 2, 598
79, 0, 0, 2, 598
80, 0, 0, 2, 598
81, 0, 0, 1, 599
82, 0, 0, 1, 599
83, 0, 0, 1, 599
84, 0, 0, 1, 599
85, 0, 0, 1, 599
86, 0, 0, 0, 600
