timestep, s, u, i, r
0, 591, 0, 9, 0
1, 581, 0, 19, 0
2, 566, 0, 30, 4
3, 544, 0, 45, 11
4, 518, 0, 59, 23
5, 512, 0, 63, 25
6, 494, 0, 74, 32
7, 473, 0, 79, 48
8, 464, 0, 78, 58
9, 449, 0, 75, 76
10, 439, 0, 74, 87
11, 428, 0, 73, 99
12, 414, 0, 79, 107
13, 406, 0, 79, 115
14, 400, 0, 78, 122
15, 392, 0, 79, 129
16, 381, 0, 80, 139
17, 376, 0, 77, 147
18, 372, 0, 77, 151
19, 361, 0, 81, 158
20, 351, 0, 84, 165
21, 346, 0, 82, 172
22, 342, 0, 77, 181
23, 337, 0, 74, 189
24, 326, 0, 72, 202
25, 318, 0, 72, 210
26, 313, 0, 70, 217
27, 309, 0, 68, 223
28, 300, 0, 68, 232
29, 295, 0, 65, 240
30, 282, 0, 64, 254
31, 277, 0, 62, 261
32, 270, 0, 60, 270
33, 265, 0, 59, 276
34, 261, 0, 63, 276
35, 255, 0, 64, 281
36, 252, 0, 61, 287
37, 248, 0, 56, 296
38, 244, 0, 50, 306
39, 236, 0, 51, 313
40, 227, 0, 51, 322
41, 221, 0, 54, 325
42, 219, 0, 51, 330
43, 218, 0, 47, 335
44, 214, 0, 45, 341
45, 214, 0, 40, 346
46, 213, 0, 37, 350
47, 200, 0, 48, 352
48, 187, 0, 54, 359
49, 179, 0, 56, 365
50, 168, 0, 59, 373
51, 163, 0, 59, 378
52, 156, 0, 59, 385
53, 147, 0, 60, 393
54, 139, 0, 63, 398
55, 128, 0, 68, 404
56, 119, 0, 67, 414
57, 110, 0, 63, 427
58, 105, 0, 63, 432
59, 98, 0, 65, 437
60, 94, 0, 63, 443
61, 82, 0, 69, 449
62, 74, 0, 64, 462
63, 68, 0, 61, 471
64, 66, 0, 52, 482
65, 66, 0, 47, 487
66, 65, 0, 46, 489
67, 64, 0, 40, 496
68, 63, 0, 33, 504
69, 61, 0, 33, 506
70, 59, 0, 31, 510
71, 53, 0, 36, 511
72, 50, 0, 37, 513
73, 43, 0, 39, 518
74, 40, 0, 35, 525
75, 37, 0, 34, 529
76, 36, 0, 32, 532
77, 33, 0, 31, 536
78, 31, 0, 31, 538
79, 28, 0, 32, 540
80, 23, 0, 33, 544
81, 23, 0, 28, 549
82, 22, 0, 27, 551
83, 21, 0, 28, 551
84, 21, 0, 28, 551
85, 21, 0, 25, 554
86, 21, 0, 21, 558
87, 19, 0, 20, 561
88, 19, 0, 19, 562
89, 18, 0, 18, 564
90, 18, 0, 18, 564
91, 18, 0, 15, 567
92, 17, 0, 16, 567
93, 17, 0, 13, 570
94, 13, 0, 17, 570
95, 11, 0, 15, 574
96, 5, 0, 21, 574
97, 2, 0, 21, 577
98, 1, 0, 16, 583
99, 1, 0, 14, 585
