timestep, s, u, i, r
0, 575, 0, 23, 2
1, 564, 0, 33, 3
2, 541, 0, 53, 6
3, 529, 0, 63, 8
4, 497, 0, 83, 20
5, 478, 0, 89, 33
6, 463, 0, 96, 41
7, 440, 0, 112, 48
8, 425, 0, 115, 60
9, 417, 0, 112, 71
10, 396, 0, 125, 79
11, 382, 0, 126, 92
12, 364, 0, 126, 110
13, 356, 0, 120, 124
14, 351, 0, 112, 137
15, 341, 0, 106, 153
16, 335, 0, 100, 165
17, 329, 0, 93, 178
18, 325, 0, 88, 187
19, 314, 0, 87, 199
20, 307, 0, 86, 207
21, 297, 0, 90, 213
22, 278, 0, 94, 228
23, 268, 0, 95, 237
24, 259, 0, 93, 248
25, 253, 0, 90, 257
26, 252, 0, 79, 269
27, 249, 0, 75, 276
28, 243, 0, 75, 282
29, 237, 0, 74, 289
30, 237, 0, 68, 295
31, 234, 0, 65, 301
32, 231, 0, 63, 306
33, 230, 0, 56, 314
34, 228, 0, 51, 321
35, 225, 0, 49, 326
36, 221, 0, 48, 331
37, 219, 0, 44, 337
38, 217, 0, 44, 339
39, 215, 0, 42, 343
40, 214, 0, 37, 349
41, 213, 0, 37, 350
42, 210, 0, 37, 353
43, 210, 0, 34, 356
44, 209, 0, 33, 358
45, 207, 0, 30, 363
46, 204, 0, 30, 366
47, 200, 0, 32, 368
48, 193, 0, 33, 374
49, 182, 0, 40, 378
50, 174, 0, 45, 381
51, 173, 0, 38, 389
52, 167, 0, 39, 394
53, 156, 0, 47, 397
54, 143, 0, 57, 400
55, 139, 0, 54, 407
56, 134, 0, 55, 411
57, 130, 0, 55, 415
58, 127, 0, 52, 421
59, 123, 0, 52, 425
60, 120, 0, 52, 428
61, 119, 0, 50, 431
62, 104, 0, 56, 440
63, 99, 0, 58, 443
64, 97, 0, 54, 449
65, 94, 0, 47, 459
66, 90, 0, 46, 464
67, 85, 0, 47, 468
68, 81, 0, 48, 471
69, 76, 0, 48, 476
70, 60, 0, 61, 479
71, 51, 0, 65, 484
72, 44, 0, 66, 490
73, 39, 0, 64, 497
74, 35, 0, 61, 504
75, 33, 0, 56, 511
76, 24, 0, 59, 517
77, 17, 0, 63, 520
78, 13, 0, 60, 527
79, 11, 0, 57, 532
80, 9, 0, 49, 542
81, 9, 0, 43, 548
82, 6, 0, 41, 553
83, 5, 0, 40, 555
84, 4, 0, 39, 557
85, 3, 0, 39, 558
86, 3, 0, 35, 562
87, 1, 0, 32, 567
88, 0, 0, 29, 571
89, 0, 0, 27, 573
90, 0, 0, 24, 576
91, 0, 0, 21, 579
92, 0, 0, 19, 581
93, 0, 0, 18, 582
94, 0, 0, 18, 582
95, 0, 0, 18, 582
96, 0, 0, 17, 583
97, 0, 0, 13, 587
98, 0, 0, 13, 587
99, 0, 0, 12, 588
