timestep, s, u, i, r
0, 590, 0, 10, 0
1, 570, 0, 29, 1
2, 545, 0, 52, 3
3, 530, 0, 62, 8
4, 509, 0, 75, 16
5, 492, 0, 88, 20
6, 478, 0, 94, 28
7, 458, 0, 102, 40
8, 442, 0, 106, 52
9, 424, 0, 121, 55
10, 413, 0, 120, 67
11, 394, 0, 133, 73
12, 383, 0, 130, 87
13, 368, 0, 134, 98
14, 356, 0, 129, 115
15, 348, 0, 124, 128
16, 336, 0, 121, 143
17, 316, 0, 129, 155
18, 297, 0, 135, 168
19, 289, 0, 127, 184
20, 278, 0, 126, 196
21, 268, 0, 124, 208
22, 256, 0, 127, 217
23, 250, 0, 120, 230
24, 241, 0, 117, 242
25, 234, 0, 110, 256
26, 231, 0, 105, 264
27, 229, 0, 95, 276
28, 222, 0, 90, 288
29, 218, 0, 83, 299
30, 213, 0, 83, 304
31, 211, 0, 79, 310
32, 199, 0, 86, 315
33, 191, 0, 91, 318
34, 179, 0, 98, 323
35, 165, 0, 101, 334
36, 158, 0, 99, 343
37, 153, 0, 89, 358
38, 149, 0, 86, 365
39, 146, 0, 80, 374
40, 145, 0, 72, 383
41, 144, 0, 66, 390
42, 144, 0, 59, 397
43, 139, 0, 53, 408
44, 136, 0, 50, 414
45, 135, 0, 47, 418
46, 132, 0, 45, 423
47, 129, 0, 41, 430
48, 126, 0, 39, 435
49, 119, 0, 41, 440
50, 111, 0, 43, 446
51, 107, 0, 42, 451
52, 103, 0, 40, 457
53, 99, 0, 42, 459
54, 90, 0, 47, 463
55, 81, 0, 53, 466
56, 71, 0, 55, 474
57, 69, 0, 50, 481
58, 60, 0, 54, 486
59, 54, 0, 53, 493
60, 47, 0, 53, 500
61, 42, 0, 51, 507
62, 37, 0, 50, 513
63, 31, 0, 48, 521
64, 28, 0, 46, 526
65, 26, 0, 43, 531
66, 22, 0, 43, 535
67, 14, 0, 47, 539
68, 2, 0, 52, 546
69, 1, 0, 45, 554
70, 0, 0, 43, 557
71, 0, 0, 38, 562
72, 0, 0, 35, 565
73, 0, 0, 31, 569
74, 0, 0, 28, 572
75, 0, 0, 26, 574
76, 0, 0, 25, 575
77, 0, 0, 22, 578
78, 0, 0, 19, 581
79, 0, 0, 15, 585
80, 0, 0, 13, 587
81, 0, 0, 12, 588
82, 0, 0, 10, 590
83, 0, 0, 8, 592
84, 0, 0, 7, 593
85, 0, 0, 7, 593
86, 0, 0, 7, 593
87, 0, 0, 7, 593
88, 0, 0, 6, 594
89, 0, 0, 5, 595
90, 0, 0, 4, 596
91, 0, 0, 3, 597
92, 0, 0, 3, 597
93, 0, 0, 3, 597
94, 0, 0, 3, 597
95, 0, 0, 3, 597
96, 0, 0, 3, 597
97, 0, 0, 3, 597
98, 0, 0, 2, 598
99, 0, 0, 2, 598
