timestep, s, u, i, r
0, 591, 0, 8, 1
1, 574, 0, 22, 4
2, 556, 0, 36, 8
3, 535, 0, 51, 14
4, 514, 0, 68, 18
5, 496, 0, 79, 25
6, 481, 0, 81, 38
7, 460, 0, 93, 47
8, 435, 0, 108, 57
9, 412, 0, 117, 71
10, 399, 0, 118, 83
11, 381, 0, 121, 98
12, 369, 0, 124, 107
13, 349, 0, 126, 125
14, 330, 0, 129, 141
15, 311, 0, 134, 155
16, 296, 0, 138, 166
17, 279, 0, 144, 177
18, 260, 0, 137, 203
19, 241, 0, 145, 214
20, 232, 0, 134, 234
21, 211, 0, 138, 251
22, 206, 0, 130, 264
23, 186, 0, 135, 279
24, 174, 0, 132, 294
25, 169, 0, 122, 309
26, 160, 0, 114, 326
27, 152, 0, 114, 334
28, 148, 0, 109, 343
29, 141, 0, 106, 353
30, 137, 0, 98, 365
31, 133, 0, 89, 378
32, 130, 0, 90, 380
33, 127, 0, 81, 392
34, 125, 0, 75, 400
35, 124, 0, 70, 406
36, 122, 0, 57, 421
37, 122, 0, 48, 430
38, 122, 0, 36, 442
39, 122, 0, 30, 448
40, 122, 0, 29, 449
41, 122, 0, 26, 452
42, 122, 0, 24, 454
43, 122, 0, 22, 456
44, 122, 0, 20, 458
45, 122, 0, 16, 462
46, 122, 0, 15, 463
47, 122, 0, 14, 464
48, 122, 0, 13, 465
49, 122, 0, 12, 466
50, 122, 0, 8, 470
51, 122, 0, 8, 470
52, 122, 0, 7, 471
53, 122, 0, 5, 473
54, 122, 0, 5, 473
55, 122, 0, 5, 473
56, 122, 0, 4, 474
57, 122, 0, 4, 474
58, 122, 0, 4, 474
59, 122, 0, 4, 474
60, 122, 0, 3, 475
61, 122, 0, 3, 475
62, 122, 0, 3, 475
63, 122, 0, 3, 475
64, 122, 0, 3, 475
65, 122, 0, 3, 475
66, 122, 0, 3, 475
67, 122, 0, 3, 475
68, 122, 0, 3, 475
69, 122, 0, 3, 475
70, 122, 0, 3, 475
71, 122, 0, 2, 476
72, 122, 0, 2, 476
73, 122, 0, 2, 476
74, 122, 0, 2, 476
75, 122, 0, 2, 476
76, 122, 0, 2, 476
77, 122, 0, 2, 476
78, 122, 0, 2, 476
79, 122, 0, 2, 476
80, 122, 0, 1, 477
81, 122, 0, 0, 478
